Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
AACE Clinical Case Reports,Elsevier,OA,,,340,340,360,360
AEUE - International Journal of Electronics and Communications,Elsevier,Hybrid,1607,2156,2280,2520,2820,2820
AJIC: American Journal of Infection Control,Elsevier,Hybrid,1741,1709,,,,1709
AJO-DO Clinical Companion,Elsevier,Hybrid,,2630,2630,2630,2740,2740
AJOG Global Reports,Elsevier,OA,,,1750,1750,1820,1820
AJPM Focus,Elsevier,OA,,,,1580,1640,1640
Academic Pathology,Elsevier,OA,,,,1710,1780,1780
Academic Pediatrics,Elsevier,Hybrid,2678,2630,2630,2630,2740,2740
Academic Radiology,Elsevier,Hybrid,2455,2411,2910,2910,3030,3030
Accident Analysis & Prevention,Elsevier,Hybrid,,,2970,3050,3590,3590
Accident Analysis and Prevention,Elsevier,Hybrid,3348,3288,,,,3288
Accounting Forum,Elsevier,Hybrid,982,964,,,,964
"Accounting, Organizations and Society",Elsevier,Hybrid,1607,1578,2630,3010,3360,3360
Acta Astronautica,Elsevier,Hybrid,2634,2586,2580,2580,2690,2690
Acta Biomaterialia,Elsevier,Hybrid,2678,2630,2630,2630,2930,2930
Acta Colombiana de Cuidado Intensivo,Elsevier,"",,,,1740,1820,1820
Acta Colombiana de Cuidado Intensivo,Elsevier,Hybrid,,,1740,,,1740
Acta Ecologica Sinica,Elsevier,Hybrid,2678,2630,2190,2190,2280,2280
Acta Histochemica,Elsevier,Hybrid,1607,1867,2270,2500,2690,2690
Acta Materialia,Elsevier,Hybrid,2678,2630,2630,2630,2930,2930
Acta Mathematica Scientia,Elsevier,Hybrid,2678,2630,,,,2630
Acta Oecologica,Elsevier,Hybrid,2232,2192,2400,2470,2650,2650
Acta Otorrinolaringologica (English Edition),Elsevier,Hybrid,2678,3000,2010,,,2010
Acta Otorrinolaringologica Espa�ola,Elsevier,Hybrid,1607,1800,2010,,2100,2100
Acta Psychologica,Elsevier,OA,,,1310,1310,1500,1500
Acta Psychologica,Elsevier,Hybrid,1741,1709,,,,1709
Acta Tropica,Elsevier,Hybrid,2098,2007,2340,2580,2770,2770
Actas Dermo-Sifiliogr�ficas (English Edition),Elsevier,Hybrid,2678,2630,,,,2630
Actas Urologicas Espanolas,Elsevier,Hybrid,2678,2630,2710,,2650,2650
Actas Urologicas Espanolas (English Edition),Elsevier,Hybrid,2678,2630,,,,2630
Actas dermosifiliograficas,Elsevier,Hybrid,2678,2630,,,,2630
Actualit�s pharmaceutiques,Elsevier,Hybrid,2678,2630,,,,2630
Ad Hoc Networks,Elsevier,Hybrid,2142,1955,2080,2290,2380,2380
Addiction Neuroscience,Elsevier,OA,,,2190,2190,2280,2280
Addictive Behaviors,Elsevier,Hybrid,2410,2367,2840,3130,3700,3700
Addictive Behaviors Reports,Elsevier,OA,2008,1972,2160,2450,2680,2680
Additive Manufacturing,Elsevier,Hybrid,1651,1622,2230,2580,3060,3060
Additive Manufacturing Letters,Elsevier,OA,,,1090,1090,1140,1140
Advanced Drug Delivery Reviews,Elsevier,Hybrid,3571,3507,4380,4510,4700,4700
Advanced Engineering Informatics,Elsevier,Hybrid,2276,2235,2230,2640,3260,3260
Advanced Powder Technology,Elsevier,Hybrid,2500,2455,2450,2450,2550,2550
Advanced Sensor and Energy Materials,Elsevier,OA,,,,1400,1460,1460
Advances in Accounting,Elsevier,Hybrid,982,1639,2290,2570,2750,2750
Advances in Anesthesia,Elsevier,Hybrid,2544,2498,2150,,,2150
