Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
Advanced Optical Technologies,Frontiers,OA,,,,,1963,1963
Batteries and Electrochemistry,Frontiers,OA,,,,,1963,1963
Frontiers in Acoustics,Frontiers,OA,,,,,1963,1963
Frontiers in Aerospace Engineering,Frontiers,OA,,,,1807,1963,1963
Frontiers in Aging,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Aging Neuroscience,Frontiers,OA,,2586,2494,2805,3045,3045
Frontiers in Agronomy,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Allergy,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Amphibian and Reptile Science,Frontiers,OA,,,,,1963,1963
Frontiers in Analytical Science,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Anesthesiology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Animal Science,Frontiers,OA,,,972,1093,1187,1187
Frontiers in Antennas and Propagation,Frontiers,OA,,,,,1963,1963
Frontiers in Antibiotics,Frontiers,OA,,,,1807,1963,1963
Frontiers in Applied Mathematics and Statistics,Frontiers,OA,1026,1008,972,1093,1187,1187
Frontiers in Aquaculture,Frontiers,OA,,,,,1963,1963
Frontiers in Arachnid Science,Frontiers,OA,,,,,1963,1963
Frontiers in Artificial Intelligence,Frontiers,OA,848,1008,972,1093,1963,1963
Frontiers in Astronomy and Space Sciences,Frontiers,OA,1026,1008,972,1093,1963,1963
Frontiers in Audiology and Otology,Frontiers,OA,,,,,1963,1963
Frontiers in Bacteriology,Frontiers,OA,,,,,1963,1963
Frontiers in Bee Science,Frontiers,OA,,,,,1963,1963
Frontiers in Behavioral Economics,Frontiers,OA,,,,1093,1187,1187
Frontiers in Behavioral Neuroscience,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Big Data,Frontiers,OA,848,1008,972,1093,1187,1187
Frontiers in Bioengineering and Biotechnology,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Bioinformatics,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Biomaterials Science,Frontiers,OA,,,,1807,1963,1963
Frontiers in Biophysics,Frontiers,OA,,,,,1963,1963
Frontiers in Bird Science,Frontiers,OA,,,,,1963,1963
Frontiers in Blockchain,Frontiers,OA,1026,1008,972,1093,1187,1187
Frontiers in Built Environment,Frontiers,OA,1696,1665,1606,1807,1963,1963
Frontiers in Cancer Control and Society,Frontiers,OA,,,,,1963,1963
Frontiers in Carbon,Frontiers,OA,,,,,1963,1963
Frontiers in Cardiovascular Medicine,Frontiers,OA,1696,2183,2105,2368,3045,3045
Frontiers in Catalysis,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Cell Death,Frontiers,OA,,,,,1963,1963
Frontiers in Cell and Developmental Biology,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Cellular Neuroscience,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Cellular and Infection Microbiology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Ceramics,Frontiers,OA,,,,,1963,1963
Frontiers in Chemical Biology,Frontiers,OA,,,,,1963,1963
Frontiers in Chemical Engineering,Frontiers,OA,,1008,972,1807,1963,1963
Frontiers in Chemistry,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Child and Adolescent Psychiatry,Frontiers,OA,,,,1807,1963,1963
Frontiers in Climate,Frontiers,OA,1026,1008,972,1093,1963,1963
Frontiers in Clinical Diabetes and Healthcare,Frontiers,OA,,,1606,1807,1963,1963
Frontiers in Coatings,Frontiers,OA,,,,,1963,1963
Frontiers in Cognition,Frontiers,OA,,,,,1963,1963
Frontiers in Communication,Frontiers,OA,848,832,803,903,1187,1187
Frontiers in Communications and Networks,Frontiers,OA,,,803,1807,1963,1963
Frontiers in Complex Systems,Frontiers,OA,,,,,1963,1963
Frontiers in Computational Neuroscience,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Computer Science,Frontiers,OA,1026,1008,972,1093,1187,1187
Frontiers in Conservation Science,Frontiers,OA,,,972,1093,1963,1963
Frontiers in Control Engineering,Frontiers,OA,,,803,1807,1963,1963
Frontiers in Dementia,Frontiers,OA,,,,1807,1963,1963
Frontiers in Dental Medicine,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Detector Science and Technology,Frontiers,OA,,,,,1963,1963
Frontiers in Developmental Psychology,Frontiers,OA,,,,,1963,1963
Frontiers in Digital Health,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Disaster and Emergency Medicine,Frontiers,OA,,,,,1963,1963
Frontiers in Drug Delivery,Frontiers,OA,,,,1807,1963,1963
Frontiers in Drug Discovery,Frontiers,OA,,,,1807,1963,1963
Frontiers in Drug Safety and Regulation,Frontiers,OA,,,,1807,1963,1963
Frontiers in Earth Science,Frontiers,OA,2223,2586,2494,2805,3045,3045
Frontiers in Ecology and Evolution,Frontiers,OA,2223,2183,2105,2368,2583,2583
Frontiers in Education,Frontiers,OA,848,832,803,903,1187,1187
Frontiers in Electronic Materials,Frontiers,OA,,,,1807,1963,1963
Frontiers in Electronics,Frontiers,OA,,,803,1807,1963,1963
Frontiers in Endocrinology,Frontiers,OA,2634,2586,2494,2805,3045,3045
Frontiers in Energy Efficiency,Frontiers,OA,,,,,1963,1963
Frontiers in Energy Research,Frontiers,OA,1696,2183,2105,2368,2583,2583
Frontiers in Environmental Archaeology,Frontiers,OA,,,,,1963,1963
Frontiers in Environmental Chemistry,Frontiers,OA,,1665,1606,1807,1963,1963
Frontiers in Environmental Economics,Frontiers,OA,,,,1093,1187,1187
Frontiers in Environmental Engineering,Frontiers,OA,,,,,1963,1963
Frontiers in Environmental Health,Frontiers,OA,,,,,1963,1963
Frontiers in Environmental Science,Frontiers,OA,1696,2183,2105,2368,3045,3045
Frontiers in Epidemiology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Epigenetics and Epigenomics,Frontiers,OA,,,,,1963,1963
Frontiers in Ethology,Frontiers,OA,,,,,1963,1963
Frontiers in Fish Science,Frontiers,OA,,,,,1963,1963
Frontiers in Food Science and Technology,Frontiers,OA,,,,1807,1963,1963
Frontiers in Forests and Global Change,Frontiers,OA,1026,1008,972,1093,1963,1963
Frontiers in Freshwater Science,Frontiers,OA,,,,,1963,1963
Frontiers in Fuels,Frontiers,OA,,,,,1963,1963
Frontiers in Fungal Biology,Frontiers,OA,,,1606,1807,1963,1963
