Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
AI,MDPI,OA,,934,925,995,1234,1234
Acoustics,MDPI,OA,898,934,1110,1393,1646,1646
Actuators,MDPI,OA,898,934,1480,1792,1852,1852
Administrative Sciences,MDPI,OA,898,934,1110,1393,1440,1440
Adolescents,MDPI,OA,,,925,995,1028,1028
Advances in Respiratory Medicine,MDPI,OA,,,,1294,1337,1337
Aerospace,MDPI,OA,898,934,1480,1593,1852,1852
AgriEngineering,MDPI,OA,898,934,925,1194,1440,1440
Agriculture,MDPI,OA,898,1307,1480,1792,2057,2057
Agrochemicals,MDPI,OA,,,,,1028,1028
Agronomy,MDPI,OA,898,1494,1665,1991,2263,2263
Air,MDPI,OA,,,,,1028,1028
Algorithms,MDPI,OA,898,934,1295,1393,1646,1646
Allergies,MDPI,OA,,934,925,995,1028,1028
Alloys,MDPI,OA,,,,995,1028,1028
Analytica,MDPI,OA,,934,925,995,1028,1028
Analytics,MDPI,OA,,,,995,1028,1028
Anatomia,MDPI,OA,,,,995,1028,1028
Anesthesia Research,MDPI,OA,,,,,1028,1028
Animals,MDPI,OA,1078,1494,1665,1792,1852,1852
Antibiotics,MDPI,OA,1078,1494,1665,1991,2263,2263
Antibodies,MDPI,OA,898,934,1295,1593,1646,1646
Antioxidants,MDPI,OA,1078,1494,1850,2190,2469,2469
Applied Biosciences,MDPI,OA,,,,995,1028,1028
Applied Mechanics,MDPI,OA,,934,925,995,1028,1028
Applied Microbiology,MDPI,OA,,,925,995,1028,1028
Applied Nano,MDPI,OA,,934,925,995,1028,1028
Applied Sciences,MDPI,OA,1347,1681,1850,2290,2366,2366
Applied System Innovation,MDPI,OA,898,934,925,1393,1440,1440
AppliedChem,MDPI,OA,,,925,995,1028,1028
AppliedMath,MDPI,OA,,,,995,1028,1028
Aquaculture Journal,MDPI,OA,,,925,995,1028,1028
Architecture,MDPI,OA,,,925,995,1028,1028
Arthropoda,MDPI,OA,,,,,1028,1028
Arts,MDPI,OA,898,934,1110,1194,1234,1234
Astronomy,MDPI,OA,,,925,995,1028,1028
Atmosphere,MDPI,OA,1258,1401,1665,1991,2057,2057
Atoms,MDPI,OA,898,934,1295,1493,1543,1543
Audiology Research,MDPI,OA,,,925,1194,1234,1234
Automation,MDPI,OA,,934,925,995,1028,1028
Axioms,MDPI,OA,898,934,1295,1593,1646,1646
Bacteria,MDPI,OA,,,,995,1028,1028
Batteries,MDPI,OA,898,934,1295,1593,1852,1852
Behavioral Sciences,MDPI,OA,898,934,1295,1393,1852,1852
Beverages,MDPI,OA,898,934,1295,1393,1646,1646
Big Data and Cognitive Computing,MDPI,OA,898,934,1295,1393,1646,1646
BioChem,MDPI,OA,,,925,995,1028,1028
BioMed,MDPI,OA,,,925,995,1028,1028
BioMedInformatics,MDPI,OA,,,925,995,1028,1028
BioTech,MDPI,OA,,934,1295,1393,1440,1440
Bioengineering,MDPI,OA,898,934,1480,1692,2057,2057
Biologics,MDPI,OA,,,925,995,1028,1028
Biology,MDPI,OA,898,1401,1665,1991,2263,2263
Biomass,MDPI,OA,,,925,995,1028,1028
Biomechanics,MDPI,OA,,,925,995,1028,1028
Biomedicines,MDPI,OA,898,1307,1850,2190,2263,2263
Biomimetics,MDPI,OA,898,934,1295,1593,1852,1852
Biomolecules,MDPI,OA,1078,1681,1850,2090,2366,2366
Biophysica,MDPI,OA,,,925,995,1028,1028
Biosensors,MDPI,OA,898,1307,1665,1991,2263,2263
Birds,MDPI,OA,,934,925,995,1028,1028
Blockchains,MDPI,OA,,,,,1028,1028
Brain Sciences,MDPI,OA,1258,1494,1665,1991,2057,2057
Buildings,MDPI,OA,898,934,1480,1792,2057,2057
Businesses,MDPI,OA,,,925,995,1028,1028
C,MDPI,OA,,934,1295,1393,1440,1440
COVID,MDPI,OA,,,925,995,1028,1028
Cancers,MDPI,OA,1617,2055,2035,2389,2675,2675
Cardiogenetics,MDPI,OA,,,925,995,1440,1440
Catalysts,MDPI,OA,1437,1681,1850,2190,2263,2263
Cells,MDPI,OA,1617,1868,1850,2190,2469,2469
Ceramics,MDPI,OA,898,934,1110,1393,1646,1646
Challenges,MDPI,OA,898,934,1295,1393,1440,1440
ChemEngineering,MDPI,OA,898,934,1295,1493,1543,1543
Chemistry,MDPI,OA,898,934,1110,1393,1646,1646
Chemosensors,MDPI,OA,898,1307,1480,1792,2057,2057
Children,MDPI,OA,898,934,1480,1792,2057,2057
Chips,MDPI,OA,,,,995,1028,1028
CivilEng,MDPI,OA,,934,925,995,1028,1028
Clean Technologies,MDPI,OA,898,934,1110,1393,1646,1646
Climate,MDPI,OA,898,934,1295,1593,1646,1646
