Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
PLOS Biology,PLOS,OA,2678,2630,3382,5040,5083,5083
PLOS Climate,PLOS,OA,,,1775,1997,1940,1940
PLOS Computational Biology,PLOS,OA,2098,2192,2177,2525,2453,2453
PLOS Digital Health,PLOS,OA,,,2177,2449,2379,2379
PLOS Genetics,PLOS,OA,2098,2192,2177,2525,2453,2453
PLOS Global Public Health,PLOS,OA,,,1775,1997,1940,1940
PLOS Medicine,PLOS,OA,2678,2630,3382,5040,5822,5822
PLOS Neglected Tropical Diseases,PLOS,OA,2098,2060,2046,2372,2305,2305
PLOS One,PLOS,OA,1424,1486,1479,1716,1668,1668
PLOS Pathogens,PLOS,OA,2098,2192,2177,2525,2453,2453
PLOS Sustainability and Transformation,PLOS,OA,,,2536,2853,2772,2772
PLOS Water,PLOS,OA,,,1775,1997,1940,1940
