Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
3 Biotech,Springer Nature,Hybrid,2480,2570,2590,2690,2890,2890
3D Printing in Medicine,Springer Nature,OA,1290,1390,1390,1590,1590,1590
3D Research,Springer Nature,Hybrid,2040,,,,,2040
4OR,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
AAPPS Bulletin,Springer Nature,OA,,,1570,1570,1590,1590
AAPS Open,Springer Nature,OA,1290,1290,1290,1490,1690,1690
AAPS PharmSciTech,Springer Nature,Hybrid,2990,2570,2590,2690,2890,2890
ADHD Attention Deficit and Hyperactivity Disorders,Springer Nature,Hybrid,2480,,,,,2480
AI & SOCIETY,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
AI Perspectives,Springer Nature,OA,1155,1155,1290,1390,1390,1390
AI and Ethics,Springer Nature,Hybrid,,2170,2170,2170,2290,2290
AIDS Research and Therapy,Springer Nature,OA,1990,2170,2190,2190,2290,2290
AIDS and Behavior,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
AMB Express,Springer Nature,OA,1790,1870,1990,2190,2390,2390
AMS Review,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
ANNALI DELL'UNIVERSITA' DI FERRARA,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
AStA Advances in Statistical Analysis,Springer Nature,Hybrid,2040,2170,2190,2090,2090,2090
AStA Wirtschafts- und Sozialstatistisches Archiv,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Abdominal Radiology,Springer Nature,Hybrid,2480,3060,3060,3190,3390,3390
Abhandlungen aus dem Mathematischen Seminar der Universit�t Hamburg,Springer Nature,Hybrid,2040,2170,2190,2090,2290,2290
Academic Psychiatry,Springer Nature,Hybrid,2480,2570,2590,2690,2590,2590
Academic Questions,Springer Nature,Hybrid,2040,2170,,,,2170
Accreditation and Quality Assurance,Springer Nature,Hybrid,2480,2570,2590,2590,2690,2690
Acoustics Australia,Springer Nature,Hybrid,2040,2570,2570,2690,2890,2890
Acta Analytica,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Acta Applicandae Mathematicae,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Acta Biotheoretica,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Acta Diabetologica,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
Acta Geochimica,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Acta Geodaetica et Geophysica,Springer Nature,Hybrid,2480,2170,2190,2290,2490,2490
Acta Geophysica,Springer Nature,Hybrid,2480,2170,2190,2290,2390,2390
Acta Geotechnica,Springer Nature,Hybrid,2040,2570,2590,2690,2790,2790
Acta Informatica,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
Acta Mathematica Scientia,Springer Nature,Hybrid,,2170,2190,2190,2190,2190
Acta Mathematica Vietnamica,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
"Acta Mathematicae Applicatae Sinica, English Series",Springer Nature,Hybrid,,,,2590,2590,2590
Acta Mechanica,Springer Nature,Hybrid,2040,2570,2590,2690,2690,2690
Acta Mechanica Sinica,Springer Nature,Hybrid,2040,2570,2590,2690,2890,2890
Acta Mechanica Solida Sinica,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Acta Metallurgica Sinica (English Letters),Springer Nature,Hybrid,,2570,2590,2690,2790,2790
Acta Neurochirurgica,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
Acta Neurologica Belgica,Springer Nature,Hybrid,2480,2570,2590,2690,2890,2890
Acta Neuropathologica,Springer Nature,Hybrid,3490,3580,3580,3690,3690,3690
Acta Neuropathologica Communications,Springer Nature,OA,1870,2490,2690,2890,2990,2990
Acta Oceanologica Sinica,Springer Nature,Hybrid,,2570,2170,2290,2290,2290
Acta Parasitologica,Springer Nature,Hybrid,1790,1790,2190,2290,2390,2390
Acta Pharmacologica Sinica,Springer Nature,Hybrid,2990,3060,3060,3060,3290,3290
Acta Physiologiae Plantarum,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Acta Politica,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Acta Scientiarum Mathematicarum,Springer Nature,Hybrid,,,,2190,2290,2290
Acta Veterinaria Scandinavica,Springer Nature,OA,1925,1990,2190,2090,2290,2290
Activitas Nervosa Superior,Springer Nature,Hybrid,2040,2170,2190,,,2190
Adaptive Human Behavior and Physiology,Springer Nature,Hybrid,2040,2170,2190,2090,2190,2190
Addiction Science & Clinical Practice,Springer Nature,OA,1790,1870,2090,2190,2290,2290
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,Hybrid,2040,2170,2590,2690,2690,2690
Adolescent Research Review,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Adsorption,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Advanced Composites and Hybrid Materials,Springer Nature,Hybrid,1790,1790,2190,2390,2590,2590
Advanced Fiber Materials,Springer Nature,Hybrid,,1790,2190,2290,2390,2390
Advanced Modeling and Simulation in Engineering Sciences,Springer Nature,OA,1000,1000,1290,1390,1490,1490
Advanced Structural and Chemical Imaging,Springer Nature,OA,1100,1060,,,,1060
Advances in Aerodynamics,Springer Nature,OA,1000,,,,,1000
Advances in Applied Clifford Algebras,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Advances in Astronautics Science and Technology,Springer Nature,Hybrid,1790,1790,2190,2290,2290,2290
Advances in Atmospheric Sciences,Springer Nature,Hybrid,2480,2480,2480,2480,2590,2590
Advances in Computational Intelligence,Springer Nature,Hybrid,,,,2190,2190,2190
Advances in Computational Mathematics,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Advances in Continuous and Discrete Models,Springer Nature,OA,,,,,1490,1490
Advances in Data Analysis and Classification,Springer Nature,Hybrid,2040,2170,2190,2390,2390,2390
Advances in Difference Equations,Springer Nature,OA,1180,1290,1290,1490,,1490
Advances in Health Sciences Education,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Advances in Manufacturing,Springer Nature,Hybrid,2040,2170,2590,2690,2790,2790
Advances in Neurodevelopmental Disorders,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Advances in Operator Theory,Springer Nature,Hybrid,,2170,2190,2190,2290,2290
Advances in Simulation,Springer Nature,OA,1995,1995,1990,2090,2090,2090
Advances in Therapy,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Advances in Traditional Medicine,Springer Nature,Hybrid,,2570,2590,2690,2790,2790
Adversity and Resilience Science,Springer Nature,Hybrid,,1790,2190,2190,2290,2290
Aequationes mathematicae,Springer Nature,Hybrid,2040,2170,2190,2090,2190,2190
Aerobiologia,Springer Nature,Hybrid,2480,2570,2590,2490,2590,2590
Aerosol Science and Engineering,Springer Nature,Hybrid,1790,1790,2590,2690,2790,2790
Aerospace Systems,Springer Nature,Hybrid,1790,1790,2190,2290,2490,2490
Aerotecnica Missili & Spazio,Springer Nature,Hybrid,,2570,2190,2290,2390,2390
Aesthetic Plastic Surgery,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Affective Science,Springer Nature,Hybrid,,1790,2190,2190,2190,2190
African Archaeological Review,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Afrika Matematika,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Ageing International,Springer Nature,Hybrid,2040,2170,2190,2090,2190,2190
Aging Clinical and Experimental Research,Springer Nature,Hybrid,2480,3060,3060,3290,3290,3290
Agricultural Research,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Agricultural and Food Economics,Springer Nature,OA,1000,1020,1030,1030,1090,1090
Agriculture & Food Security,Springer Nature,OA,1480,1390,1570,1690,1790,1790
Agriculture and Human Values,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Agroforestry Systems,Springer Nature,Hybrid,2040,2170,2190,2290,2190,2190
Agronomy for Sustainable Development,Springer Nature,Hybrid,2480,2480,2480,1690,2265,2265
"Air Quality, Atmosphere & Health",Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Algebra and Logic,Springer Nature,Hybrid,,,,2390,2390,2390
Algebra universalis,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Algebras and Representation Theory,Springer Nature,Hybrid,2040,2170,2190,2290,2490,2490
Algorithmica,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Algorithms for Molecular Biology,Springer Nature,OA,1570,1690,1790,1790,1890,1890
Allergo Journal International,Springer Nature,Hybrid,,2240,2380,2490,2590,2590
"Allergy, Asthma & Clinical Immunology",Springer Nature,OA,1745,1990,2090,2290,2290,2290
Alpine Botany,Springer Nature,Hybrid,2480,3060,3060,3060,3060,3060
Alzheimer's Research & Therapy,Springer Nature,OA,2105,2570,2790,2890,2990,2990
Ambio,Springer Nature,Hybrid,2990,3060,3060,3190,3190,3190
American Journal of Cardiovascular Drugs,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
American Journal of Clinical Dermatology,Springer Nature,Hybrid,2990,3060,3580,3690,3790,3790
American Journal of Criminal Justice,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
American Journal of Cultural Sociology,Springer Nature,Hybrid,2040,2170,2190,2190,2390,2390
American Journal of Dance Therapy,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
American Journal of Potato Research,Springer Nature,Hybrid,2480,2570,2590,2690,2890,2890
Amino Acids,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Analog Integrated Circuits and Signal Processing,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Analysis and Mathematical Physics,Springer Nature,Hybrid,2040,2170,2190,2090,2290,2290
Analytical Sciences,Springer Nature,Hybrid,,,,2690,2790,2790
Analytical and Bioanalytical Chemistry,Springer Nature,Hybrid,2480,2570,2590,2690,2790,2790
Anatomical Science International,Springer Nature,Hybrid,2480,3060,2590,2590,2590,2590
Angiogenesis,Springer Nature,Hybrid,2990,3580,3580,3580,3890,3890
Animal Biotelemetry,Springer Nature,OA,1480,1570,1570,1690,1790,1790
Animal Cognition,Springer Nature,Hybrid,2480,2570,2590,2690,2690,2690
Animal Microbiome,Springer Nature,OA,,1485,1390,1490,1590,1590
Annales Henri Poincar�,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Annales math�matiques du Qu�bec,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Annali di Matematica Pura ed Applicata (1923 -),Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Annals of Biomedical Engineering,Springer Nature,Hybrid,2990,3060,3060,3060,3290,3290
Annals of Clinical Microbiology and Antimicrobials,Springer Nature,OA,2170,2290,2290,2290,2490,2490
Annals of Combinatorics,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Annals of Data Science,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Annals of Dyslexia,Springer Nature,Hybrid,2040,2170,2190,2290,2290,2290
Annals of Finance,Springer Nature,Hybrid,2040,2170,2190,2190,2290,2290
Annals of Forest Science,Springer Nature,OA,,,,1690,1750,1750
Annals of Forest Science,Springer Nature,Hybrid,2480,2480,2480,,,2480
Annals of Functional Analysis,Springer Nature,Hybrid,,2170,2190,2290,2390,2390
Annals of General Psychiatry,Springer Nature,OA,1990,2040,2090,2190,2290,2290
Annals of Global Analysis and Geometry,Springer Nature,Hybrid,2040,2170,2190,2190,2190,2190
Annals of Hematology,Springer Nature,Hybrid,2990,3060,3060,3190,3390,3390
Annals of Intensive Care,Springer Nature,OA,2170,2290,2490,2590,2790,2790
Annals of Mathematics and Artificial Intelligence,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Annals of Microbiology,Springer Nature,OA,,1570,1690,1690,1790,1790
Annals of Microbiology,Springer Nature,Hybrid,2480,,,,,2480
Annals of Nuclear Medicine,Springer Nature,Hybrid,2990,3060,3060,3060,3290,3290
Annals of Occupational and Environmental Medicine,Springer Nature,OA,1745,,,,,1745
Annals of Operations Research,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
Annals of PDE,Springer Nature,Hybrid,2040,2170,2190,2290,2390,2390
