Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
ACR Open Rheumatology,Wiley,OA,2155,2116,2300,2400,2640,2640
AEM Education and Training,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
AGU Advances,Wiley,OA,,1693,1693,2100,2310,2310
AI Magazine,Wiley,OA,,,,2150,2150,2150
AIChE Journal,Wiley,Hybrid,3125,3150,3500,4000,4120,4120
AIDS Research and Treatment,Wiley,OA,,,,,854,854
ANZ Journal of Surgery,Wiley,Hybrid,2583,2583,2583,2850,2930,2930
AORN Journal,Wiley,Hybrid,,2500,2500,2550,2550,2550
APMIS,Wiley,Hybrid,2500,3000,3000,3350,3450,3450
AWWA Water Science,Wiley,Hybrid,,2500,2500,2500,2500,2500
Abacus,Wiley,Hybrid,2083,2083,2083,2500,2580,2580
Abstract and Applied Analysis,Wiley,OA,,,,,970,970
Academic Emergency Medicine,Wiley,Hybrid,2500,2500,2500,3000,3090,3090
Accounting & Finance,Wiley,Hybrid,2500,2500,2500,2550,2630,2630
Accounting Perspectives,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
Acta Anaesthesiologica Scandinavica,Wiley,Hybrid,3167,3167,3167,3250,3350,3350
Acta Archaeologica,Wiley,Hybrid,2100,2100,,,,2100
Acta Crystallographica Section A: Foundations and Advances,Wiley,Hybrid,3047,3047,3400,3700,3810,3810
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Wiley,Hybrid,2962,2962,3400,3700,3810,3810
Acta Crystallographica Section C: Structural Chemistry,Wiley,Hybrid,3047,3047,3047,3100,3190,3190
Acta Crystallographica Section D: Structural Biology,Wiley,Hybrid,2793,2793,3450,4100,4220,4220
Acta Crystallographica Section F: Structural Biology Communications,Wiley,Hybrid,2370,2370,,2800,2800,2800
Acta Geologica Sinica (English Edition),Wiley,Hybrid,2833,2500,2500,2550,2630,2630
Acta Neurologica Scandinavica,Wiley,Hybrid,3350,3350,3350,3700,,3700
Acta Neurologica Scandinavica,Wiley,OA,,,,,2125,2125
Acta Obstetricia et Gynecologica Scandinavica,Wiley,Hybrid,3333,3333,3333,,,3333
Acta Obstetricia et Gynecologica Scandinavica,Wiley,OA,,,,2400,2400,2400
Acta Ophthalmologica,Wiley,Hybrid,2500,3000,3300,3950,4070,4070
Acta Paediatrica: Nurturing the Child,Wiley,Hybrid,2500,2500,2750,3300,3400,3400
Acta Physiologica,Wiley,Hybrid,3083,3083,3083,3700,3890,3890
Acta Psychiatrica Scandinavica,Wiley,Hybrid,3000,3000,3000,3550,3660,3660
Acta Zoologica,Wiley,Hybrid,2500,2500,2500,2500,2580,2580
Active and Passive Electronic Components,Wiley,OA,,,,,854,854
Acute Medicine & Surgery,Wiley,OA,2029,2029,2029,2029,2029,2029
Addiction,Wiley,Hybrid,2700,2850,3150,3450,3550,3550
Addiction Biology,Wiley,Hybrid,2500,3000,3100,3400,3500,3500
Adultspan Journal,Wiley,Hybrid,2100,2100,2100,,,2100
Advanced Biology,Wiley,Hybrid,,,3150,3150,3350,3350
Advanced Biosystems,Wiley,Hybrid,3150,3150,,,,3150
Advanced Control for Applications,Wiley,Hybrid,2100,2100,2100,2150,2220,2220
Advanced Electronic Materials,Wiley,Hybrid,3150,3150,3500,3550,,3550
Advanced Electronic Materials,Wiley,OA,,,,,2600,2600
Advanced Energy Materials,Wiley,Hybrid,4167,4167,4167,4250,4380,4380
Advanced Energy and Sustainability Research,Wiley,OA,,,2600,2600,2680,2680
Advanced Engineering Materials,Wiley,Hybrid,3150,3150,3400,3450,3560,3560
Advanced Functional Materials,Wiley,Hybrid,4375,4375,4375,4450,4580,4580
Advanced Genetics,Wiley,OA,,,4250,4400,4400,4400
Advanced Healthcare Materials,Wiley,Hybrid,3150,3150,3500,3550,3660,3660
Advanced Intelligent Systems,Wiley,OA,,2327,2327,2450,2700,2700
Advanced Materials,Wiley,Hybrid,4375,4375,4375,4450,4580,4580
Advanced Materials Interfaces,Wiley,Hybrid,3150,3150,3500,3550,,3550
Advanced Materials Interfaces,Wiley,OA,,,,,2600,2600
Advanced Materials Technologies,Wiley,Hybrid,3150,3150,3500,3550,3660,3660
Advanced NanoBioMed Research,Wiley,OA,,,2900,2900,2990,2990
Advanced Optical Materials,Wiley,Hybrid,3150,3150,3500,3550,3660,3660
Advanced Photonics Research,Wiley,OA,,,2327,2350,2500,2500
Advanced Physics Research,Wiley,OA,,,,,2050,2050
Advanced Quantum Technologies,Wiley,Hybrid,2917,3150,3150,3250,3350,3350
Advanced Science,Wiley,OA,4163,4163,4163,4350,4790,4790
Advanced Sensor Research,Wiley,OA,,,,,2100,2100
Advanced Sustainable Systems,Wiley,Hybrid,3150,3150,3150,3250,3350,3350
Advanced Synthesis & Catalysis,Wiley,Hybrid,3350,3350,3350,3450,3550,3550
Advanced Theory and Simulations,Wiley,Hybrid,2917,3150,3150,3250,3350,3350
Advanced Therapeutics,Wiley,Hybrid,2917,3150,3150,3250,3350,3350
Advances in Agriculture,Wiley,OA,,,,,739,739
Advances in Astronomy,Wiley,OA,,,,,970,970
Advances in Cell and Gene Therapy,Wiley,Hybrid,2478,2478,2478,,,2478
Advances in Cell and Gene Therapy,Wiley,OA,,,,,716,716
Advances in Civil Engineering,Wiley,OA,,,,,2356,2356
Advances in Condensed Matter Physics,Wiley,OA,,,,,1386,1386
Advances in Digestive Medicine,Wiley,Hybrid,,,1800,1800,1800,1800
Advances in Fuzzy Systems,Wiley,OA,,,,,854,854
Advances in Hematology,Wiley,OA,,,,,739,739
Advances in High Energy Physics,Wiley,OA,,,,,1386,1386
Advances in Human-Computer Interaction,Wiley,OA,,,,,854,854
Advances in Materials Science and Engineering,Wiley,OA,,,,,2356,2356
Advances in Mathematical Physics,Wiley,OA,,,,,2195,2195
Advances in Medicine,Wiley,OA,,,,,739,739
Advances in Meteorology,Wiley,OA,,,,,1386,1386
Advances in Multimedia,Wiley,OA,,,,,854,854
Advances in Operations Research,Wiley,OA,,,,,970,970
Advances in Orthopedics,Wiley,OA,,,,,854,854
Advances in Pharmacological and Pharmaceutical Sciences,Wiley,OA,,,,,854,854
Advances in Polymer Technology,Wiley,OA,,,,,1848,1848
Advances in Polymer Technology,Wiley,Hybrid,2083,,,,,2083
Advances in Preventive Medicine,Wiley,OA,,,,,739,739
Advances in Public Health,Wiley,OA,,,,,854,854
Advances in Tribology,Wiley,OA,,,,,854,854
Advances in Urology,Wiley,OA,,,,,854,854
Advances in Virology,Wiley,OA,,,,,854,854
African Development Review,Wiley,Hybrid,2750,2750,2750,2800,2880,2880
African Journal of Ecology,Wiley,Hybrid,2250,2250,2250,2700,2780,2780
Aggregate,Wiley,OA,,,3519,3500,3500,3500
Aggressive Behavior,Wiley,Hybrid,2500,2500,2750,3300,3400,3400
Aging Cell,Wiley,OA,2327,2327,2327,2327,2560,2560
Aging Medicine,Wiley,OA,,1835,1835,1835,1835,1835
Aging and Cancer,Wiley,OA,,2550,2550,2550,2810,2810
Agribusiness,Wiley,Hybrid,2350,2450,2450,2850,2940,2940
Agricultural & Environmental Letters,Wiley,OA,,960,1050,1210,1390,1390
Agricultural Economics,Wiley,Hybrid,2500,2500,2750,2950,3040,3040
Agricultural and Applied Economics Association,Wiley,OA,,,,2250,2250,2250
Agricultural and Forest Entomology,Wiley,Hybrid,2500,2900,3000,3500,3500,3500
Agronomy Journal,Wiley,Hybrid,,,900,1050,1230,1230
"Agrosystems, Geosciences & Environment",Wiley,OA,,960,1050,1250,1480,1480
Alcoholism: Clinical & Experimental Research,Wiley,Hybrid,2500,2750,2900,3200,3290,3290
Alimentary Pharmacology & Therapeutics,Wiley,Hybrid,3750,3750,3750,4100,4230,4230
Allergy,Wiley,Hybrid,3650,3650,3650,4300,4300,4300
Alzheimer's & Dementia,Wiley,Hybrid,,2500,2500,2500,2500,2500
