Journal,Publisher,Business model,APC (€)
3 Biotech,Springer Nature,Hybrid,2890
3D Printing in Medicine,Springer Nature,OA,1590
3D Research,Springer Nature,Hybrid,2040
4OR,Springer Nature,Hybrid,2390
AACE Clinical Case Reports,Elsevier,OA,360
AAPPS Bulletin,Springer Nature,OA,1590
AAPS Open,Springer Nature,OA,1690
AAPS PharmSciTech,Springer Nature,Hybrid,2890
ACR Open Rheumatology,Wiley,OA,2640
ADHD Attention Deficit and Hyperactivity Disorders,Springer Nature,Hybrid,2480
AEM Education and Training,Wiley,Hybrid,2630
AEUE - International Journal of Electronics and Communications,Elsevier,Hybrid,2820
AGU Advances,Wiley,OA,2310
AI,MDPI,OA,1234
AI & SOCIETY,Springer Nature,Hybrid,2290
AI Magazine,Wiley,OA,2150
AI Perspectives,Springer Nature,OA,1390
AI and Ethics,Springer Nature,Hybrid,2290
AIChE Journal,Wiley,Hybrid,4120
AIDS Research and Therapy,Springer Nature,OA,2290
AIDS Research and Treatment,Wiley,OA,854
AIDS and Behavior,Springer Nature,Hybrid,3190
AJIC: American Journal of Infection Control,Elsevier,Hybrid,1709
AJO-DO Clinical Companion,Elsevier,Hybrid,2740
AJOG Global Reports,Elsevier,OA,1820
AJPM Focus,Elsevier,OA,1640
AMB Express,Springer Nature,OA,2390
AMS Review,Springer Nature,Hybrid,2390
ANNALI DELL'UNIVERSITA' DI FERRARA,Springer Nature,Hybrid,2290
ANZ Journal of Surgery,Wiley,Hybrid,2930
AORN Journal,Wiley,Hybrid,2550
APMIS,Wiley,Hybrid,3450
AStA Advances in Statistical Analysis,Springer Nature,Hybrid,2090
AStA Wirtschafts- und Sozialstatistisches Archiv,Springer Nature,Hybrid,2290
AWWA Water Science,Wiley,Hybrid,2500
Abacus,Wiley,Hybrid,2580
Abdominal Radiology,Springer Nature,Hybrid,3390
Abhandlungen aus dem Mathematischen Seminar der Universit�t Hamburg,Springer Nature,Hybrid,2290
Abstract and Applied Analysis,Wiley,OA,970
Academic Emergency Medicine,Wiley,Hybrid,3090
Academic Pathology,Elsevier,OA,1780
Academic Pediatrics,Elsevier,Hybrid,2740
Academic Psychiatry,Springer Nature,Hybrid,2590
Academic Questions,Springer Nature,Hybrid,2170
Academic Radiology,Elsevier,Hybrid,3030
Accident Analysis & Prevention,Elsevier,Hybrid,3590
Accident Analysis and Prevention,Elsevier,Hybrid,3288
Accounting & Finance,Wiley,Hybrid,2630
Accounting Forum,Elsevier,Hybrid,964
Accounting Perspectives,Wiley,Hybrid,2220
"Accounting, Organizations and Society",Elsevier,Hybrid,3360
Accreditation and Quality Assurance,Springer Nature,Hybrid,2690
Acoustics,MDPI,OA,1646
Acoustics Australia,Springer Nature,Hybrid,2890
