"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"ACS Chemical Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/acbcct?src=UCV000017_BLH","3600","1.374","Q1 (Biochemistry; Medicine; Molecular Medicine)","151","No","1554-8937","1554-8929"
"ACS Chemical Neuroscience","Molecular & Cellular Biology - Neuroscience and Neurobiology","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/acncdm","4163","1.1","Q1 (Medicine)","112","No","1948-7193","1948-7193"
"ACS Synthetic Biology","Molecular & Cellular Biology - Biotechnology and Bioengineering","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/asbcd6","3683","1.419","Q1 (Biochemistry, Genetics and Molecular Biology; Biomedical Engineering; Medicine)","111","No","2161-5063","2161-5063"
"AI in Neuroscience","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","Hybrid","National Neurotrauma Society","Society/Association","USA","https://journals.sagepub.com/home/aina","3558","","","","No","2997-979X","2997-9781"
"AIDS","Immunology - Virology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/aidsonline/pages/default.aspx","4387","1.141","Q1 (Infectious Diseases)","237","No","1473-5571","0269-9370"
"AIDS Research and Human Retroviruses","Immunology - Virology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","","","USA","https://home.liebertpub.com/publications/aids-research-and-human-retroviruses/2/overview","2791","0.516","Q3 (Immunology; Infectious Diseases; Virology)","100","No","1931-8405","0889-2229"
"AIDS Research and Therapy","Immunology - Virology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://aidsrestherapy.biomedcentral.com/","2649","0.934","Q2 (Molecular Medicine; Pharmacology; Virology)","54","No","1742-6405",""
"AIDS Reviews","Immunology - Virology","Permanyer Publications","For-profit","OA","","","Spain","https://www.aidsreviews.com/","","0.972","Q1 (Medicine; Pharmacology)","64","No","1698-6997","1139-6121"
"AIDS and behavior","Immunology - Virology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10461","3445","1.084","Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)","139","No","1573-3254","1090-7165"
"AOB Plants","Ecology & Evolution - Plants; Plants - Generalist","Oxford University Press (OUP)","University Press","OA","The Annals of Botany Company","Non-profit","UK","https://academic.oup.com/aobpla/?login=true","572","0.782","Q1 (Plant Science)","69","No","2041-2851",""
"ASM Animal Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","","American Society for Microbiology (ASM)","Society/Association","USA","https://journals.asm.org/journal/asm-animal-microbiology","","","","","No","3068-5265",""
"ASN Neuro","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Taylor & Francis Group","For-profit associated with a society","OA","American Society for Neurochemistry","Society/Association","UK","https://www.tandfonline.com/journals/tasn20","1276","1.322","Q1 (Neurology; Neuroscience)","62","No","1759-0914","1759-0914"
"Acarologia","Ecology & Evolution - Zoology","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","Non-profit","OA diamond","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","University/Government","France","https://www1.montpellier.inra.fr/CBGP/acarologia/index.php","0","0.519","Q2 (Insect Science)","30","PCI friendly","2107-7207","0044-586X"
"Access Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Microbiology Society","Non-profit","OA","Microbiology Society","Society/Association","UK","https://www.microbiologyresearch.org/content/journal/acmi","912","0.406","Q3 (Microbiology)","20","No","2516-8290",""
"Acta Amazonica","Ecology & Evolution - Botany","Instituto Nacional de Pesquisas da Amazonia","Non-profit","OA diamond","Instituto Nacional de Pesquisas da Amazonia","University/Government","Brazil","https://acta.inpa.gov.br/","0","0.355","Q2 (Agricultural and Biological Sciences)","41","No","","0044-5967"
"Acta Botanica Brasilica","Ecology & Evolution - Botany; Plants - Generalist","Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB)","Non-profit","OA diamond","Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB)","Society/Association","Brazil","https://projetos.mestrescriativos.com.br/acta/","0","0.351","Q3 (Plant Science)","59","No","1677-941X","0102-3306"
"Acta Chiropterologica","Ecology & Evolution - Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription","Museum and Institute of Zoology / Polish Academy of Sciences","University/Government","Poland","https://bioone.org/journals/acta-chiropterologica/","","0.422","Q2 (Animal Science and Zoology)","48","No","","1508-1109"
"Acta Cytologica","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Karger Publishers","For-profit associated with a society","Hybrid","International Academy of Cytology","","Switzerland","https://karger.com/acy","3600","0.404","Q3 (Histology; Medicine; Pathology and Forensic Medicine)","70","No","1938-2650","0001-5547"
"Acta Herpetologica","Ecology & Evolution - Zoology","Firenze University Press","University Press associated with a society","OA diamond","Societas Herpetologica Italica","Society/Association","Italy","https://oaj.fupress.net/index.php/ah/index","0","0.348","Q2 (Animal Science and Zoology)","22","No","1827-9643","1827-9635"
