"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Acta Physiologica","Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","Scandinavian Physiological Society","Society/Association","USA","https://onlinelibrary.wiley.com/journal/17481716","4977","1.528","Q1 (Physiology)","135","No","1748-1716","1748-1708"
"Advances in Anatomic Pathology","Anatomy","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/anatomicpathology/pages/default.aspx","","1.286","Q1 (Anatomy; Pathology and Forensic Medicine)","94","No","1072-4109",""
"Advances in Nutrition","Nutrition","Elsevier","For-profit associated with a society","OA","American Society for Nutrition","Society/Association","Netherlands","https://www.sciencedirect.com/journal/advances-in-nutrition","5673","2.591","Q1 (Food Science; Medicine; Nutrition and Dietetics)","145","No","2156-5376","2161-8313"
"Age and Ageing","Aging","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/ageing?login=false","2884","1.993","Q1 (Aging; Geriatrics and Gerontology; Medicine)","175","No","1468-2834","0002-0729"
"Ageing International","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12126","2136","0.529","Q2 (Health)","47","No","1936-606X","0163-5158"
"Ageing Research Reviews","Aging","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/ageing-research-reviews","1300","4.216","Q1 (Aging; Biochemistry; Biotechnology; Molecular Biology; Neurology)","181","No","1872-9649","1568-1637"
"Aging Cell","Aging","John Wiley & Sons","For-profit associated with a society","OA","The Anatomical Society","Society/Association","UK","https://onlinelibrary.wiley.com/journal/14749726","1812","2.905","Q1 (Aging; Cell Biology)","181","No","1474-9726","1474-9718"
"Aging Clinical and Experimental Research","Aging","Springer Nature","For-profit associated with a society","OA","European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases","Society/Association","Germany / UK","https://link.springer.com/journal/40520","3445","1.144","Q2 (Aging; Geriatrics and Gerontology)","95","No","1720-8319","1594-0667"
"Aging and Disease","Aging","International Society on Aging and Disease (ISOAD)","Non-profit","OA","International Society on Aging and Disease (ISOAD)","Society/Association","USA","https://www.aginganddisease.org/EN/2152-5250/home.shtml","2568","2.143","Q1 (Cell Biology; Geriatrics and Gerontology; Neurology; Pathology and Forensic Medicine)","88","No","2152-5250","2152-5250"
"Aging and Mental Health","Aging","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/camh20","1690","1.356","Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health)","119","No","1364-6915","1360-7863"
