"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Acta Oncologica","Generalist","Taylor & Francis Group","For-profit","OA","Acta Oncologica Foundation","Non-profit","Sweden","https://www.tandfonline.com/journals/ionc20","1749","0.952","Q1 (Medicine; Radiology, Nuclear Medicine and Imaging)","127","No","1651-226X","0284-186X"
"Angiogenesis","Generalist","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10456","1601","2.713","Q1 (Cancer Research; Clinical Biochemistry; Physiology)","111","No","1573-7209","0969-6970"
"Angiology","Hematopoietic and Cardiovascular Cancer","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/ang","285","0.715","Q2 (Cardiology and Cardiovascular Medicine)","82","No","1940-1574","0003-3197"
"Annals of Oncology","Generalist","Elsevier","For-profit associated with a society","Hybrid","European Society for Medical Oncology; Japanese Society of Medical Oncology,","Society/Association","UK","https://academic.oup.com/annonc","4200","21.715","Q1 (Hematology; Medicine; Oncology)","331","No","1569-8041","0923-7534"
"Annual Review of Cancer Biology","Generalist","Annual Reviews","Non-profit","OA","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/cancerbio","","2.724","Q1 (Cancer Research; Cell Biology; Oncology)","44","No","2472-3428",""
"Anti-Cancer Drugs","Treatment","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/anti-cancerdrugs/pages/currenttoc.aspx","2789","0.506","Q3 (Oncology; Pharmacology)","106","No","1473-5741","0959-4973"
"Antimicrobial Agents and Chemotherapy","Treatment","American Society for Microbiology (ASM)","Non-profit","Hybrid","American Society for Microbiology (ASM)","Society/Association","USA","https://journals.asm.org/journal/aac","3154","1.473","Q1 (Infectious Diseases; Pharmacology)","309","No","1098-6596","0066-4804"
"BMC Cancer","Generalist","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmccancer.biomedcentral.com/","3283","1.172","Q2 (Cancer Research; Genetics; Oncology)","180","No","1471-2407",""
"Biochimica et Biophysica Acta - Reviews on Cancer","Generalist","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-reviews-on-cancer","2845","2.882","Q1 (Cancer Research; Genetics; Oncology)","174","No","1879-2561","0304-419X"
"Birth Defects Research","Development and Oncology","John Wiley & Sons","For-profit associated with a society","Hybrid","Society for Birth Defects Research & Prevention","Society/Association","USA","https://onlinelibrary.wiley.com/journal/24721727","3210","0.56","Q2 (Embryology; Pediatrics, Perinatology and Child Health)","48","No","2472-1727","2472-1727"
"Blood Cancer Journal","Hematopoietic and Cardiovascular Cancer","Springer Nature","For-profit","OA","","","Germany","https://www.nature.com/bcj/","4334","4.307","Q1 (Hematology; Oncology)","94","No","2044-5385",""
"Brachytherapy","Treatment","Elsevier","For-profit associated with a society","Hybrid","American Brachytherapy Society","Society/Association","Netherlands","https://www.brachyjournal.com/","2768","0.572","Q2 (Radiology, Nuclear Medicine and Imaging)","62","No","1873-1449","1538-4721"
"Brain Tumor Pathology","Neuro-Oncology","Springer Nature","For-profit associated with a society","Hybrid","The Japan Society of Brain Tumor Pathology","Society/Association","Germany / UK","https://link.springer.com/journal/10014","3046","0.623","Q2 (Medicine)","49","No","1861-387X","1433-7398"
"Breast Cancer Research","Breast Cancer","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://breast-cancer-research.biomedcentral.com/","3582","1.907","Q1 (Cancer Research; Oncology)","186","No","1465-542X","1465-5411"
"Breast Cancer Research and Treatment","Breast Cancer","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.springer.com/journal/10549","3115","1.34","Q1 (Oncology)","189","No","1573-7217","0167-6806"
