"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Advances in Anatomy, Embryology and Cell Biology","Pregnancy and Embryology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/series/0102","","0.115","Q4 (Anatomy; Cell Biology; Developmental Biology; Embryology; Medicine)","46","No","2192-7065","0301-5556"
"Age and Ageing","Aging","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/ageing?login=false","2884","2.152","Q1 (Aging; Geriatrics and Gerontology; Medicine)","185","No","1468-2834","0002-0729"
"Ageing International","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12126","2445","0.502","Q2 (Health)","51","No","1936-606X","0163-5158"
"Ageing Research Reviews","Aging","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/ageing-research-reviews","1300","4.289","Q1 (Aging; Biochemistry; Biotechnology; Molecular Biology; Neurology)","194","No","1872-9649","1568-1637"
"Aging Brain","Neuroscience","Elsevier","For-profit","OA","","","Netherlands","https://www.sciencedirect.com/journal/aging-brain","2189","0.979","Q2 (Geriatrics and Gerontology; Neuroscience)","13","No","2589-9589","2589-9589"
"Aging Cell","Aging","John Wiley & Sons","For-profit associated with a society","OA","The Anatomical Society","Society/Association","UK","https://onlinelibrary.wiley.com/journal/14749726","2435","2.881","Q1 (Aging; Cell Biology)","191","No","1474-9726","1474-9718"
"Aging Clinical and Experimental Research","Aging","Springer Nature","For-profit associated with a society","OA","European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases","Society/Association","Germany / UK","https://link.springer.com/journal/40520","3950","1.24","Q1 (Geriatrics and Gerontology)","102","No","1720-8319","1594-0667"
"Aging and Disease","Aging","International Society on Aging and Disease (ISOAD)","Non-profit","OA","International Society on Aging and Disease (ISOAD)","Society/Association","USA","https://www.aginganddisease.org/EN/2152-5250/home.shtml","2421","2.784","Q1 (Cell Biology; Geriatrics and Gerontology; Neurology; Pathology and Forensic Medicine)","99","No","2152-5250","2152-5250"
"Aging and Mental Health","Aging","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/camh20","1690","1.207","Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health)","127","No","1364-6915","1360-7863"
"American Journal of Medical Genetics Part A","Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/15524833","2508","0.731","Q2 (Genetics)","141","No","1552-4833","1552-4825"
"American Journal of Perinatology","Perinatology and Birth Defects/Teratology","Thieme Group","For-profit","OA","","","Germany","https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000009","2976","0.615","Q2 (Obstetrics and Gynecology; Pediatrics, Perinatology and Child Health)","89","No","1098-8785","0735-1631"
"American Journal of Reproductive Immunology","Reproduction","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/16000897","3212","0.722","Q2 (Obstetrics and Gynecology; Reproductive Medicine)","123","No","1600-0897","1046-7408"
"Animal Reproduction Science","Reproduction","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/animal-reproduction-science","2372","0.697","Q1 (Animal Science and Zoology; Food Animals)","129","No","1873-2232","0378-4320"
"Annual Review of Cell and Developmental Biology","Molecular and Cellular development","Annual Reviews","Non-profit","OA","-","","USA","https://www.annualreviews.org/journal/cellbio","","7.701","Q1 (Cell Biology; Developmental Biology)","255","No","1530-8995","1081-0706"
"Annual Review of Developmental Psychology","Neuroscience","Annual Reviews","Non-profit","OA","-","","USA","https://www.annualreviews.org/content/journals/devpsych","","","","","No","2640-7922","2640-7922"
"Applied Neuropsychology: Child","Neuroscience","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/hapc20","","0.516","Q3 (Developmental and Educational Psychology; Neuropsychology and Physiological Psychology)","33","No","2162-2973","2162-2965"
"Archives of Disease in Childhood","Childhood and Adolescence","BMJ Group","Non-profit","Hybrid","","","UK","https://adc.bmj.com/","2050","0.917","Q1 (Pediatrics, Perinatology and Child Health)","176","No","1468-2044","0003-9888"
"Archives of Disease in Childhood: Fetal and Neonatal Edition","Childhood and Adolescence","BMJ Group","Non-profit","Hybrid","","","UK","https://fn.bmj.com/","2486","1.29","Q1 (Medicine; Obstetrics and Gynecology; Pediatrics, Perinatology and Child Health)","142","No","1468-2052","1359-2998"
"Australasian Journal on Ageing","Aging","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/17416612","2606","0.641","Q1 (Community and Home Care)","53","No","1741-6612","1440-6381"
"Autism and Developmental Language Impairments","Neuroscience","Sage Publishing","For-profit","OA","-","","USA","https://journals.sagepub.com/home/dlia","737","0.927","Q2 (Clinical Psychology; Developmental and Educational Psychology; Psychiatry and Mental Health)","27","No","2396-9415","2396-9415"
"BMC Pregnancy and Childbirth","Pregnancy and Embryology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcpregnancychildbirth.biomedcentral.com/","2998","1.066","Q1 (Obstetrics and Gynecology)","131","No","1471-2393",""
"Biogerontology","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10522","4119","1.206","Q1 (Geriatrics and Gerontology; Gerontology)","100","No","1573-6768","1389-5729"
"Biology of Reproduction","Reproduction","Oxford University Press (OUP)","University Press","Hybrid","-","","UK","https://academic.oup.com/biolreprod","4057","0.983","Q1 (Medicine; Reproductive Medicine)","214","No","1529-7268","0006-3363"
"Birth Defects Research","Perinatology and Birth Defects/Teratology","John Wiley & Sons","For-profit","Hybrid","-","","USA","https://onlinelibrary.wiley.com/journal/24721727","3210","0.56","Q2 (Embryology; Pediatrics, Perinatology and Child Health)","48","No","2472-1727","2472-1727"
"Brain Science and Child Development","Neuroscience","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/journal/brain-science-and-child-development","","","","","No","","3117-4388"
"Brain and Development","Neuroscience","Elsevier","For-profit associated with a society","Hybrid","Japanese Society of Child Neurology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/brain-and-development","2525","0.521","Q2 (Pediatrics, Perinatology and Child Health)","102","No","1872-7131","0387-7604"
"Brain and Development Case Reports","Neuroscience","Elsevier","For-profit associated with a society","","Japanese Society of Child Neurology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/brain-and-development-case-reports","","","","","No","","2950-2217"
"Child Abuse & Neglect","Neuroscience","Elsevier","For-profit associated with a society","Hybrid","International Society for Prevention of Child Abuse and Neglect","Society/Association","Netherlands","https://www.sciencedirect.com/journal/child-abuse-and-neglect","4319","1.421","Q1 (Developmental and Educational Psychology; Pediatrics, Perinatology and Child Health; Psychiatry and Mental Health; Social Work)","192","No","1873-7757","0145-2134"
"Child Development","Childhood and Adolescence","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Society for Research in Child Development","Society/Association","UK","https://academic.oup.com/chidev","2451","1.924","Q1 (Developmental and Educational Psychology; Education; Pediatrics, Perinatology and Child Health; Social Work)","309","No","1467-8624","0009-3920"
"Child Development Perspectives","Childhood and Adolescence","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Society for Research in Child Development","Society/Association","UK","https://academic.oup.com/cdpers","2192","2.214","Q1 (Developmental and Educational Psychology; Life-span and Life-course Studies; Pediatrics, Perinatology and Child Health)","112","No","1750-8606","1750-8592"
"Child Neuropsychology","Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","American Academy of Clinical Neuropsychology, Pediatric Special Interest Group","","UK","https://www.tandfonline.com/journals/ncny20","1368","0.703","Q2 (Developmental and Educational Psychology; Neuropsychology and Physiological Psychology; Pediatrics, Perinatology and Child Health)","91","No","1744-4136","0929-7049"
"Child Psychiatry & Human Development","Childhood and Adolescence","Springer Nature","For-profit","Hybrid","-","","Germany / UK","https://link.springer.com/journal/10578","2216","1.165","Q1 (Developmental and Educational Psychology; Pediatrics, Perinatology and Child Health; Psychiatry and Mental Health)","87","No","1573-3327","0009-398X"
"Child and Adolescent Mental Health","Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","Association for Child and Adolescent Mental Health","Society/Association","USA","https://acamh.onlinelibrary.wiley.com/journal/14753588?journalRedirectCheck=true","3468","2.192","Q1 (Pediatrics, Perinatology and Child Health; Psychiatry and Mental Health)","67","No","1475-3588","1475-357X"
