"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"AOB Plants","Genetics","Oxford University Press (OUP)","University Press","OA","The Annals of Botany Company","Non-profit","UK","https://academic.oup.com/aobpla/","1445","0.839","Q1 (Plant Science)","63","No","2041-2851",""
"Acarologia","Zoology","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","Non-profit","OA diamond","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","University/Government","France","https://www1.montpellier.inra.fr/CBGP/acarologia/index.php","0","0.677","Q1 (Insect Science)","29","PCI friendly","2107-7207","0044-586X"
"Acta Amazonica","Genetics","Instituto Nacional de Pesquisas da Amazonia","Non-profit","OA diamond","Instituto Nacional de Pesquisas da Amazonia","University/Government","Brazil","https://acta.inpa.gov.br/","0","0.32","Q2 (Agricultural and Biological Sciences)","39","No","","0044-5967"
"Acta Botanica Brasilica","Genetics","Sociedade Botanica do Brasil","Non-profit","OA","Sociedade Botanica do Brasil","Society/Association","Brazil","https://acta.botanica.org.br/","","0.34","Q3 (Plant Science)","57","No","1677-941X","0102-3306"
"Acta Chiropterologica","Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription","Museum and Institute of Zoology / Polish Academy of Sciences","University/Government","Poland","https://bioone.org/journals/acta-chiropterologica/","","0.373","Q2 (Animal Science and Zoology)","46","No","","1508-1109"
"Acta Herpetologica","Zoology","Firenze University Press","University Press associated with a society","OA diamond","Societas Herpetologica Italica","Society/Association","Italy","https://oaj.fupress.net/index.php/ah/index","0","0.372","Q2 (Animal Science and Zoology)","21","No","1827-9643","1827-9635"
"Acta Ornithologica","Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription","Museum and Institute of Zoology / Polish Academy of Sciences","University/Government","Poland","https://bioone.org/journals/acta-ornithologica/","","0.394","Q2 (Animal Science and Zoology)","37","No","","0001-6454"
"Acta Parasitologica","Health","Springer Nature","For-profit associated with a society","Hybrid","W. Stefanski Institute of Parasitology of the Polish Academy of Sciences","Society/Association","Germany / UK","https://www.springer.com/journal/11686","2090","0.432","Q3 (Parasitology)","43","No","1896-1851","1230-2821"
"Adansonia","Genetics","Museum National d'Histoire Naturelle","Non-profit","OA diamond","Museum National d'Histoire Naturelle","University/Government","France","https://sciencepress.mnhn.fr/fr/periodiques/adansonia","0","0.325","Q3 (Plant Science)","17","No","1639-4798","1280-8571"
"African Entomology","Zoology","Khulisa Journals","Non-profit","OA","Entomological Society of Southern Africa","Society/Association","South Africa","https://www.africanentomology.com/","336","0.307","Q3 (Agronomy and Crop Science; Ecology, Evolution, Behavior and Systematics; Insect Science)","36","No","2224-8854","1021-3589"
