"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Advanced Science","Generalist","John Wiley & Sons","For-profit","OA","","","USA","https://advanced.onlinelibrary.wiley.com/journal/21983844","5436","3.288","Q1 (Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Physics and Astronomy)","253","No","2198-3844","2198-3844"
"Advances in Applied Probability","Mathematical Biology","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/advances-in-applied-probability","3100","0.506","Q2 (Applied Mathematics; Statistics and Probability)","67","No","1475-6064","0001-8678"
"Advances in Bioethics","Bioethics","Emerald Publishing","For-profit","Hybrid","","","UK","https://bookstore.emerald.com/advances-in-bioethics/","2200","","","","No","","1479-3709"
"Anais da Academia Brasileira de Ciencias","Generalist","The Brazilian Academy of Sciences (BAS)","Non-profit","OA diamond","","","Brazil","https://www.scielo.br/j/aabc/","0","0.317","Q2 (Multidisciplinary)","81","No","1678-2690","0001-3765"
"Annales de Biologie Clinique","Clinical/Medicine","John Libbey Eurotext","For-profit associated with a society","OA","Société Française de Biologie Clinique (SFBC)","Society/Association","France","https://www.jle.com/fr/revues/abc/revue.phtml","400","0.21","Q4 (Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine)","32","No","1950-6112","0003-3898"
"Annals of Applied Probability","Mathematical Biology","Institute of Mathematical Statistics","Non-profit","Hybrid","Institute of Mathematical Statistics","Non-profit","USA","https://imstat.org/journals-and-publications/annals-of-applied-probability/","921","1.641","Q1 (Statistics and Probability; Statistics, Probability and Uncertainty)","98","No","","1050-5164"
"Annals of Medicine","Clinical/Medicine","Taylor & Francis Group","For-profit","OA","","","UK","https://www.tandfonline.com/journals/iann20","3008","1.302","Q1 (Medicine)","137","No","1365-2060","0785-3890"
"Annals of Science","History/Philosophy of Biology","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/tasc20","1229","0.152","Q3 (History and Philosophy of Science)","26","No","1464-505X","0003-3790"
"Annals of the New York Academy of Sciences","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","The New York Academy of Sciences","","USA","https://nyaspubs.onlinelibrary.wiley.com/journal/17496632","3054","1.35","Q1 (Biochemistry, Genetics and Molecular Biology; History and Philosophy of Science; Neuroscience)","312","No","1749-6632","0077-8923"
"Annual Review of Animal Biosciences","Generalist","Annual Reviews","Non-profit","","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/animal","","3.068","Q1 (Animal Science and Zoology; Biotechnology; Genetics; Veterinary)","74","No","2165-8110","2165-8102"
