"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"American Journal of Human Genetics","Human Genetics","Elsevier (Cell Press)","For-profit","Hybrid","","","USA","https://www.cell.com/ajhg/","4686","4.204","Q1 (Genetics)","348","No","1537-6605","0002-9297"
"American Journal of Medical Genetics Part A","Medical Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/15524833","2508","0.731","Q2 (Genetics)","141","No","1552-4833","1552-4825"
"American Journal of Medical Genetics Part B: Neuropsychiatric Genetics","Medical Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/1552485X","1849","0.74","Q2 (Psychiatry and Mental Health)","142","No","1552-485X","1552-4841"
"American Journal of Medical Genetics Part C: Seminars in Medical Genetics","Medical Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/15524876","1695","1.201","Q2 (Genetics)","122","No","1552-4876","1552-4868"
"Animal Genetics","Genetics","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/13652052","2970","0.526","Q2 (Animal Science and Zoology)","99","No","1365-2052","0268-9146"
"Annals of Human Genetics","Generalist","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/14691809","2007","0.605","Q3 (Genetics)","81","No","1469-1809","0003-4800"
"Annual Review of Genetics","Generalist","Annual Reviews","Non-profit","","","","USA","https://www.annualreviews.org/journal/genet","","5.472","Q1 (Genetics)","214","No","1545-2948","0066-4197"
"Annual Review of Genomics and Human Genetics","Human Genetics","Annual Reviews","Non-profit","Subscription","","","USA","https://www.annualreviews.org/content/journals/genom","","4.063","Q1 (Genetics; Molecular Biology)","140","No","1545-293X","1527-8204"
"BMC Genomic data","Genomics","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcgenet.biomedcentral.com/","1072","0.618","Q3 (Genetics; Health Informatics)","100","No","2730-6844",""
"BMC Genomics","Genomics","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcgenomics.biomedcentral.com/","2415","0.985","Q1 (Biotechnology)","218","No","1471-2164",""
