"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner"
"AIDS and behavior","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10461","3149","1.251","Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)","133","No"
"Acta Neuropathologica","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/401","3530","4.483","Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine)","227","No"
"Acta Neuropathologica Communications","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://actaneurocomms.biomedcentral.com/","2555","2.588","Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine)","97","No"
"Acta Neuropsychiatrica","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/acta-neuropsychiatrica","2418","0.919","Q2 (Psychiatry and Mental Health)","46","No"
"Acta Physiologica","Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","Scandinavian Physiological Society","Society","USA","https://onlinelibrary.wiley.com/journal/17481716","5202","1.528","Q1 (Physiology)","135","No"
"Acta Psychiatrica Scandinavica","Neurology and Psychiatry","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/16000447","2340","2.506","Q1 (Psychiatry and Mental Health)","174","No"
"Acta tropica","Infectious Diseases","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/acta-tropica","2145","0.752","Q1 (Insect Science; Veterinary)","122","No"
"Acupuncture and Electro-Therapeutics Research","Clinical/Medicine","Sage Publishing","For-profit associated with a society","","International BDORT Medical Societies","","USA","https://journals.sagepub.com/home/aet","","0.147","Q4 (Anesthesiology and Pain Medicine; Complementary and Alternative Medicine; Neuroscience)","28","No"
"Addiction","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","Society for the Study of Addiction","Society","USA","https://onlinelibrary.wiley.com/journal/13600443","2472","2.357","Q1 (Medicine; Psychiatry and Mental Health)","224","No"
"Addiction Biology","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","OA","Society for the Study of Addiction","Society","USA","https://onlinelibrary.wiley.com/journal/13691600","3038","1.159","Q1 (Medicine; Pharmacology; Psychiatry and Mental Health)","97","No"
"Addiction Research and Theory","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/iart20","2973","0.904","Q1 (Medicine)","65","No"
"Addiction Science and Clinical Practice","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","Evans Medical Foundation","","UK","https://ascpjournal.biomedcentral.com/","1996","1.187","Q1 (Clinical Psychology; Psychiatry and Mental Health)","51","No"
"Addictive Behaviors","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/addictive-behaviors","2339","1.638","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health; Toxicology)","158","No"
"Addictive Behaviors Reports","Neurology and Psychiatry","Elsevier","For-profit","OA","","","UK","https://www.sciencedirect.com/journal/addictive-behaviors-reports","1870","1.12","Q1 (Clinical Psychology)","41","No"
"Advances in Nutrition","Nutrition","Elsevier","For-profit associated with a society","OA","American Society for Nutrition","Society","Netherlands","https://www.sciencedirect.com/journal/advances-in-nutrition","4949","2.591","Q1 (Food Science; Medicine; Nutrition and Dietetics)","145","No"
"Age and Ageing","Aging","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/ageing?login=false","2895","1.993","Q1 (Aging; Geriatrics and Gerontology; Medicine)","175","No"
"Ageing International","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12126","","0.529","Q2 (Health)","47","No"
"Ageing Research Reviews","Aging","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/ageing-research-reviews","2949","4.216","Q1 (Aging; Biochemistry; Biotechnology; Molecular Biology; Neurology)","181","No"
"Aging Cell","Aging","John Wiley & Sons","For-profit associated with a society","OA","The Anatomical Society","Society","UK","https://onlinelibrary.wiley.com/journal/14749726","2327","2.905","Q1 (Aging; Cell Biology)","181","No"
