"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"AIDS","Virology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/aidsonline/pages/default.aspx","4387","1.141","Q1 (Infectious Diseases)","237","No","1473-5571","0269-9370"
"AIDS Research and Human Retroviruses","Virology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","","","USA","https://home.liebertpub.com/publications/aids-research-and-human-retroviruses/2/overview","2791","0.516","Q3 (Immunology; Infectious Diseases; Virology)","100","No","1931-8405","0889-2229"
"AIDS Research and Therapy","Virology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://aidsrestherapy.biomedcentral.com/","2639","0.934","Q2 (Molecular Medicine; Pharmacology; Virology)","54","No","1742-6405",""
"AIDS Reviews","Virology","Permanyer Publications","For-profit","OA","","","Spain","https://www.aidsreviews.com/","","0.972","Q1 (Medicine; Pharmacology)","64","No","1698-6997","1139-6121"
"AIDS and behavior","Virology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10461","3445","1.084","Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)","139","No","1573-3254","1090-7165"
"Acta Parasitologica","Parasitology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/11686","2090","0.389","Q3 (Parasitology)","44","No","1896-1851","1230-2821"
"Acta Virologica","Virology","Frontiers Media SA","For-profit","OA","Biomedical Research Centre of the Slovak Academy of Sciences","","Switzerland","https://www.frontierspartnerships.org/journals/acta-virologica","1950","0.261","Q3 (Infectious Diseases; Medicine)","40","No","1336-2305","0001-723X"
"Acta tropica","Virology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/acta-tropica","2026","0.676","Q1 (Insect Science; Veterinary)","126","No","1873-6254","0001-706X"
"Advances in Immunology","Generalist/Classical Immunology","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/bookseries/advances-in-immunology","","0.465","Q3 (Immunology; Immunology and Allergy)","121","No","1557-8445","0065-2776"
"Advances in Virus Research","Virology","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/bookseries/advances-in-virus-research","","0.616","Q2 (Infectious Diseases; Medicine; Virology)","112","No","1557-8399","0065-3527"
"Allergologia et Immunopathologia","Allergy and Hypersensitivity","Codon Publications","For-profit associated with a society","OA","Sociedad Española de Inmunología Clínica, Alergología y Asma Pediátrica (SEICAP); Latin American Society of Immunodeficiencies (LASID)","Society/Association","Australia","https://all-imm.com/index.php/aei/index","1221","0.454","Q3 (Immunology; Immunology and Allergy; Medicine; Pulmonary and Respiratory Medicine)","48","No","1578-1267","0301-0546"
"Allergology International","Allergy and Hypersensitivity","Elsevier","For-profit associated with a society","OA","Japanese Society of Allergology","Society/Association","Netherlands","https://www.sciencedirect.com/journal/allergology-international","2080","1.95","Q1 (Immunology and Allergy; Medicine)","89","No","1440-1592","1323-8930"
"Allergy","Allergy and Hypersensitivity","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/13989995","4300","3.851","Q1 (Immunology; Immunology and Allergy)","226","No","1398-9995","0105-4538"
"Allergy Asthma and Immunology Research","Allergy and Hypersensitivity","Korean Academy of Asthma, Allergy and Clinical Immunology; Korean Academy of Pediatric Allergy and Respiratory Disease","Non-profit","OA","","","Republic of Korea (South Korea)","https://e-aair.org/","457","1.237","Q1 (Pulmonary and Respiratory Medicine)","71","No","2092-7363","2092-7355"
"Allergy, Asthma and Clinical Immunology","Allergy and Hypersensitivity","Springer Nature (BioMed Central)","For-profit associated with a society","OA","Canadian Society of Allergy and Clinical Immunology","Society/Association","UK","https://aacijournal.biomedcentral.com/","2001","0.74","Q2 (Pulmonary and Respiratory Medicine)","61","No","1710-1492","1710-1484"
"American Journal of Epidemiology","Epidemiology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Johns Hopkins Bloomberg School of Public Health; Society for Epidemiologic Research","Society/Association","UK","https://academic.oup.com/aje/?login=false","4144","1.955","Q1 (Epidemiology)","306","No","1476-6256","0002-9262"
"American Journal of Infection Control","Epidemiology","Elsevier","For-profit associated with a society","Hybrid","Association for Professionals in Infection Control and Epidemiology (APIC)","Society/Association","Netherlands","https://www.ajicjournal.org/","1517","0.795","Q2 (Epidemiology; Health Policy; Infectious Diseases; Public Health, Environmental and Occupational Health)","137","No","1527-3296","0196-6553"
"American Journal of Reproductive Immunology","Reproductive Immunology","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/16000897","3212","0.722","Q2 (Obstetrics and Gynecology; Reproductive Medicine)","123","No","1600-0897","1046-7408"
"American Journal of Rhinology and Allergy","Allergy and Hypersensitivity","Sage Publishing","For-profit","","","","USA","https://journals.sagepub.com/home/ajr","","0.985","Q1 (Medicine; Otorhinolaryngology)","96","No","1945-8932","1945-8924"
"American Journal of Transplantation","Transplant Immunology","Elsevier","For-profit associated with a society","Hybrid","American Society of Transplantation; American Society of Transplant Surgeons","Society/Association","Netherlands","https://www.amjtransplant.org/","3418","3.01","Q1 (Immunology and Allergy; Pharmacology; Transplantation)","238","No","1600-6143","1600-6135"
"Annals of Allergy, Asthma and Immunology","Allergy and Hypersensitivity","Elsevier","For-profit associated with a society","Hybrid","American College of Allergy, Asthma & Immunology","","Netherlands","https://www.annallergy.org/","2665","1.191","Q1 (Pulmonary and Respiratory Medicine)","137","No","1534-4436","1081-1206"
"Annals of Clinical Microbiology and Antimicrobials","Immunopathology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://ann-clinmicrob.biomedcentral.com/","2856","1.19","Q1 (Infectious Diseases; Medicine; Microbiology)","80","No","1476-0711",""
"Annals of Epidemiology","Epidemiology","Elsevier","For-profit associated with a society","Hybrid","American College of Epidemiology","","Netherlands","https://www.sciencedirect.com/journal/annals-of-epidemiology","2643","0.979","Q2 (Epidemiology)","150","No","1873-2585","1047-2797"
"Annals of Transplantation","Transplant Immunology","International Scientific Information Inc.","For-profit","OA","","","USA","https://annalsoftransplantation.com/","1855","0.484","Q2 (Transplantation)","47","No","2329-0358","1425-9524"
"Annual Review of Immunology","Generalist/Classical Immunology","Annual Reviews","Non-profit","Hybrid","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/journal/immunol","","16.066","Q1 (Immunology; Immunology and Allergy)","349","No","1545-3278","0732-0582"
"Annual Review of Pathology: Mechanisms of Disease","Immunopathology","Annual Reviews","Non-profit","","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/pathmechdis","","12.06","Q1 (Medicine; Pathology and Forensic Medicine; Plant Science)","162","No","1553-4014","1553-4006"
"Annual Review of Virology","Virology","Annual Reviews","Non-profit","","Annual Reviews","Non-profit","USA","https://www.annualreviews.org/content/journals/virology","","3.654","Q1 (Virology)","79","No","2327-0578","2327-056X"
"Antimicrobial Resistance and Infection Control","Immunopathology","Springer Nature (BioMed Central)","For-profit associated with a society","OA","International Conference for Prevention and Infection Control (ICPIC); Asia Pacific Society of Infection Control (APSIC); Infection Control Africa Network (ICAN)","Society/Association","UK","https://aricjournal.biomedcentral.com/","2412","1.306","Q1 (Infectious Diseases; Microbiology; Pharmacology; Public Health, Environmental and Occupational Health)","87","No","2047-2994",""
"Antiviral Research","Virology","Elsevier","For-profit associated with a society","Hybrid","International Society for Antiviral Research","Society/Association","Netherlands","https://www.sciencedirect.com/journal/antiviral-research","3424","1.353","Q1 (Pharmacology; Virology)","162","No","1872-9096","0166-3542"
"Antiviral Therapy","Virology","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/avta","2653","0.836","Q2 (Infectious Diseases; Pharmacology)","96","No","2040-2058","1359-6535"
"Applied Immunohistochemistry & Molecular Morphology","Immunogenetics, Molecular and Cellular Immunology","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","International Society for Immunohistochemisty and Molecular Morphology","Society/Association","Netherlands / USA","https://journals.lww.com/appliedimmunohist/pages/default.aspx","2633","0.472","Q2 (Medical Laboratory Technology; Pathology and Forensic Medicine)","83","No","1533-4058","1541-2016"
"Archives of Toxicology","Immunotoxicology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/204","2519","1.922","Q1 (Health, Toxicology and Mutagenesis; Medicine; Toxicology)","159","No","1432-0738","0340-5761"
"Archives of Virology","Virology","Springer Nature","For-profit associated with a society","Hybrid","International Union of Microbiological Societies; International Committee on Taxonomy of Viruses (ICTV)","Society/Association","Germany / UK","https://link.springer.com/journal/705","3445","0.642","Q2 (Medicine; Virology)","141","No","1432-8798","0304-8608"
"Autoimmunity","Autoimmunity","Taylor & Francis Group","For-profit","Hybrid","","","USA","https://www.tandfonline.com/journals/iaut20","2180","1.035","Q2 (Immunology; Immunology and Allergy)","87","No","1607-842X","0891-6934"
"Autoimmunity Reviews","Autoimmunity","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.journals.elsevier.com/autoimmunity-reviews","2689","2.669","Q1 (Immunology; Immunology and Allergy)","170","No","1873-0183","1568-9972"
"BMC Immunology","Generalist/Classical Immunology","Springer Nature","For-profit","OA","","","UK","https://bmcimmunol.biomedcentral.com/","2353","0.814","Q3 (Immunology)","79","No","1471-2172",""
"BMC Infectious Diseases","Immunopathology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcinfectdis.biomedcentral.com/","2597","0.983","Q1 (Infectious Diseases)","143","No","1471-2334",""
"BMC Microbiology","Immunogenetics, Molecular and Cellular Immunology","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcmicrobiol.biomedcentral.com/","2475","1.141","Q1 (Microbiology)","157","No","1471-2180",""
"Bone Marrow Transplantation","Transplant Immunology","Springer Nature","For-profit associated with a society","Hybrid","European Society for Blood and Marrow Transplant (EBMT)","Society/Association","Germany / UK","https://www.nature.com/bmt/","2863","1.704","Q1 (Hematology; Transplantation)","154","No","1476-5365","0268-3369"
"Brain, Behavior and Immunity","Neuroimmunology","Elsevier","For-profit associated with a society","Hybrid","Psychoneuroimmunology Research Society (PNIRS)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/brain-behavior-and-immunity","2418","2.689","Q1 (Behavioral Neuroscience; Endocrine and Autonomic Systems; Immunology)","221","No","1090-2139","0889-1591"
"Brain, Behavior and Immunity - Health","Neuroimmunology","Elsevier","For-profit associated with a society","OA","Psychoneuroimmunology Research Society (PNIRS)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/brain-behavior-and-immunity-health","2509","1.169","Q1 (Nephrology; Psychiatry and Mental Health)","44","No","2666-3546","2666-3546"
"Brain, Behavior and Immunity Integrative","Neuroimmunology","Elsevier","For-profit associated with a society","OA","Psychoneuroimmunology Research Society (PNIRS)","Society/Association","Netherlands","https://www.sciencedirect.com/journal/brain-behavior-and-immunity-integrative","2280","","","","No","2949-8341",""
"Cancer Immunology Research","Immunooncology","American Association for Cancer Research (AACR)","Non-profit","Hybrid","American Association for Cancer Research (AACR)","Society/Association","USA","https://aacrjournals.org/cancerimmunolres","5701","3.48","Q1 (Cancer Research; Immunology)","157","No","2326-6074","2326-6066"
"Cancer Immunology, Immunotherapy","Immunooncology","Springer Nature","For-profit","OA","","","Germany / UK","https://link.springer.com/journal/262","3082","1.805","Q1 (Cancer Research; Immunology; Immunology and Allergy; Medicine; Oncology)","148","No","1432-0851","0340-7004"
"Cell Death & Disease","Generalist/Classical Immunology","Springer Nature","For-profit","OA","Associazione Differenziamento e Morte Cellulare","","Germany / UK","https://www.nature.com/cddis/","4580","3.291","Q1 (Cancer Research; Cell Biology; Cellular and Molecular Neuroscience; Immunology; Medicine)","202","No","2041-4889",""
"Cell Host & Microbe","Immunopathology","Elsevier (Cell Press)","For-profit","Hybrid","","","USA","https://www.cell.com/cell-host-microbe","7803","9.892","Q1 (Cancer Research; Immunology and Microbiology; Microbiology; Molecular Biology; Parasitology; Virology)","270","No","1934-6069","1931-3128"
"Cellular Immunology","Immunogenetics, Molecular and Cellular Immunology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/cellular-immunology","3150","1.034","Q2 (Immunology)","114","No","1090-2163","0008-8749"
"Cellular and Molecular Immunology","Immunogenetics, Molecular and Cellular Immunology","Springer Nature","For-profit associated with a society","Hybrid","Chinese Society for Immunology; University of Science and Technology of China","Society/Association","Germany / UK","https://www.nature.com/cmi/","3920","7.021","Q1 (Immunology; Immunology and Allergy; Infectious Diseases; Medicine)","153","No","2042-0226","1672-7681"
"Central European Journal of Immunology","Generalist/Classical Immunology","Polish Society of Experimental and Clinical Immunology","Non-profit","OA","Polish Society of Experimental and Clinical Immunology","Society/Association","Poland","https://ceji.termedia.pl/Journal/Central_European_Journal_of_nbsp_Immunology-10","692","0.466","Q3 (Immunology; Immunology and Allergy)","41","No","1644-4124","1426-3912"
"Clinical & Experimental Immunology","Clinical Immunology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","British Society for Immunology","Society/Association","UK","https://academic.oup.com/cei","2255","1.41","Q1 (Immunology; Immunology and Allergy)","167","No","1365-2249","0009-9104"
"Clinical & Translational Immunology","Clinical Immunology","John Wiley & Sons","For-profit associated with a society","OA","Australian and New Zealand Society for Immunology","Society/Association","Australia","https://onlinelibrary.wiley.com/journal/20500068","2640","1.312","Q1 (Nursing)","64","No","2050-0068","2050-0068"
"Clinical Epidemiology","Epidemiology","Taylor & Francis Group","For-profit","OA","","","UK","https://www.tandfonline.com/journals/dcle20","3040","1.663","Q1 (Epidemiology)","92","No","1179-1349",""
"Clinical Immunology","Clinical Immunology","Elsevier","For-profit associated with a society","Hybrid","Clinical Immunology Society","Society/Association","USA","https://www.sciencedirect.com/journal/clinical-immunology","3361","1.317","Q2 (Immunology; Immunology and Allergy)","151","No","1521-7035","1521-6616"
"Clinical Infectious Diseases","Immunopathology","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/cid?login=true","4172","2.891","Q1 (Infectious Diseases; Microbiology)","414","No","1537-6591","1058-4838"
"Clinical Microbiology Reviews","Immunopathology","American Society for Microbiology (ASM)","Non-profit","Hybrid","","","USA","https://journals.asm.org/journal/cmr","3013","6.584","Q1 (Epidemiology; Immunology and Microbiology; Infectious Diseases; Microbiology; Public Health, Environmental and Occupational Health)","358","No","1098-6618","0893-8512"
"Clinical Microbiology and Infection","Immunopathology","Elsevier","For-profit associated with a society","Hybrid","European Society of Clinical Microbiology and Infectious Diseases","Society/Association","Netherlands","https://www.clinicalmicrobiologyandinfection.org/","2793","2.658","Q1 (Infectious Diseases; Medicine; Microbiology)","219","No","1469-0691","1198-743X"
"Clinical Reviews in Allergy and Immunology","Allergy and Hypersensitivity","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/12016","3606","3.286","Q1 (Immunology and Allergy; Medicine)","116","No","1559-0267","1080-0549"
"Clinical Transplantation","Transplant Immunology","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/13990012","3160","0.676","Q2 (Transplantation)","95","No","1399-0012","0902-0063"
"Clinical and Experimental Allergy","Allergy and Hypersensitivity","John Wiley & Sons","For-profit associated with a society","Hybrid","British Society for Allergy & Clinical Immunology","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13652222","3281","1.35","Q2 (Immunology; Immunology and Allergy)","182","No","1365-2222","0954-7894"
"Comparative Immunology, Microbiology and Infectious Diseases","Immunopathology","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/comparative-immunology-microbiology-and-infectious-diseases","2780","0.596","Q1 (Veterinary)","72","No","1878-1667","0147-9571"
"Comparative Parasitology","Parasitology","The Helminthological Society of Washington","Non-profit","","The Helminthological Society of Washington","Society/Association","USA","https://bioone.org/journals/comparative-parasitology","","0.267","Q3 (Ecology, Evolution, Behavior and Systematics)","35","No","","1525-2647"
"Critical Reviews in Immunology","Generalist/Classical Immunology","Begell House","For-profit","","","","USA","https://www.begellhouse.com/journals/critical-reviews-in-immunology.html","","0.558","Q3 (Immunology; Immunology and Allergy)","91","No","","1040-8401"
"Critical Reviews in Microbiology","Immunopathology","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/imby20","2101","1.831","Q1 (Applied Microbiology and Biotechnology; Medicine; Microbiology)","124","No","1549-7828","1040-841X"
