"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"ACS Chemical Biology","Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/acbcct?src=UCV000017_BLH","3600","1.374","Q1 (Biochemistry; Medicine; Molecular Medicine)","151","No","1554-8937","1554-8929"
"ACS Chemical Neuroscience","Neuroscience and Neurobiology","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/acncdm","4163","1.1","Q1 (Medicine)","112","No","1948-7193","1948-7193"
"ACS Synthetic Biology","Biotechnology and Bioengineering","American Chemical Society (ACS)","Non-profit","Hybrid","American Chemical Society (ACS)","Society/Association","USA","https://pubs.acs.org/journal/asbcd6","3112","1.419","Q1 (Biochemistry, Genetics and Molecular Biology; Biomedical Engineering; Medicine)","111","No","2161-5063","2161-5063"
"ASM Animal Microbiology","Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","","American Society for Microbiology (ASM)","Society/Association","USA","https://journals.asm.org/journal/asm-animal-microbiology","","","","","No","3068-5265",""
"ASN Neuro","Neuroscience and Neurobiology","Taylor & Francis Group","For-profit associated with a society","OA","American Society for Neurochemistry","Society/Association","UK","https://www.tandfonline.com/journals/tasn20","1276","1.322","Q1 (Neurology; Neuroscience)","62","No","1759-0914","1759-0914"
"Access Microbiology","Microbiology and Infectious Diseases","Microbiology Society","Non-profit","OA","Microbiology Society","Society/Association","UK","https://www.microbiologyresearch.org/content/journal/acmi","912","0.406","Q3 (Microbiology)","20","No","2516-8290",""
"Acta Cytologica","Cell Biology and Developmental Biology","Karger Publishers","For-profit associated with a society","Hybrid","International Academy of Cytology","","Switzerland","https://karger.com/acy","3600","0.404","Q3 (Histology; Medicine; Pathology and Forensic Medicine)","70","No","1938-2650","0001-5547"
"Acta Pharmaceutica Sinica B","Pharmacology and Toxicology","Elsevier","For-profit associated with a society","OA","Institute of Materia Medica; Chinese Academy of Medical Sciences; Chinese Pharmaceutical Association","Society/Association","Netherlands","https://www.sciencedirect.com/journal/acta-pharmaceutica-sinica-b","","3.439","Q1 (Pharmacology, Toxicology and Pharmaceutics)","146","No","2211-3843","2211-3835"
"Acta Pharmacologica Sinica","Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.nature.com/aps/","3545","2.691","Q1 (Medicine; Pharmacology)","134","No","1745-7254","1671-4083"
"Acta tropica","Microbiology and Infectious Diseases","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/acta-tropica","2026","0.676","Q1 (Insect Science; Veterinary)","126","No","1873-6254","0001-706X"
"Adipocyte","Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","OA","","","UK","https://www.tandfonline.com/journals/kadi20","2652","0.974","Q1 (Histology)","43","No","2162-397X","2162-3945"
"Advances and Applications in Bioinformatics and Chemistry","Biochemistry and Molecular Biology","Taylor & Francis Group (Dovepress)","For-profit","OA","","","UK","https://www.tandfonline.com/journals/daab20","","0.644","Q2 (Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science Applications)","21","No","1178-6949",""
"Advances in Applied Microbiology","Microbiology and Infectious Diseases","Elsevier","For-profit","Subscription","","","Netherlands","https://www.sciencedirect.com/bookseries/advances-in-applied-microbiology","","0.339","Q3 (Applied Microbiology and Biotechnology)","99","No","","0065-2164"
"Advances in Protein Chemistry and Structural Biology","Structural Biology and Biophysics","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/bookseries/advances-in-protein-chemistry-and-structural-biology","","0.462","Q3 (Biochemistry)","90","No","1876-1631","1876-1623"
"Aging Cell","Cell Biology and Developmental Biology","John Wiley & Sons","For-profit associated with a society","OA","The Anatomical Society","Society/Association","UK","https://onlinelibrary.wiley.com/journal/14749726","2435","2.881","Q1 (Aging; Cell Biology)","191","No","1474-9726","1474-9718"
"American Journal of Physiology - Cell Physiology","Cell Biology and Developmental Biology","American Physiological Society (APS)","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpcell","3136","1.822","Q1 (Cell Biology; Physiology)","211","No","1522-1563","0363-6143"
"American Journal of Physiology - Endocrinology and Metabolism","Biochemistry and Molecular Biology","American Physiological Society (APS)","Non-profit","Hybrid","American Physiological Society","Society/Association","USA","https://journals.physiology.org/journal/ajpendo","823","1.505","Q1 (Endocrinology, Diabetes and Metabolism; Physiology)","237","No","1522-1555","0193-1849"
