"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"AI in Neuroscience","Generalist","Sage Publishing","For-profit associated with a society","Hybrid","National Neurotrauma Society","Society/Association","USA","https://journals.sagepub.com/home/aina","3558","","","","No","2997-979X","2997-9781"
"AIDS and behavior","Clinical Neuroscience","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10461","3445","1.084","Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)","139","No","1573-3254","1090-7165"
"ASN Neuro","Molecular and Cellular Neuroscience","Taylor & Francis Group","For-profit associated with a society","OA","American Society for Neurochemistry","Society/Association","UK","https://www.tandfonline.com/journals/tasn20","1276","1.322","Q1 (Neurology; Neuroscience)","62","No","1759-0914","1759-0914"
"Acta Neuropathologica","Clinical Neuroscience","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/401","3745","4.191","Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine)","241","No","1432-0533","0001-6322"
"Acta Neuropathologica Communications","Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://actaneurocomms.biomedcentral.com/","2876","2.466","Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine)","108","No","2051-5960",""
"Acta Neuropsychiatrica","Clinical Neuroscience","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/acta-neuropsychiatrica","2418","0.677","Q2 (Psychiatry and Mental Health)","49","No","1601-5215","0924-2708"
"Acta Psychiatrica Scandinavica","Clinical Neuroscience","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/16000447","2340","2.035","Q1 (Psychiatry and Mental Health)","182","No","1600-0447","0001-690X"
"Adaptive Behavior","Generalist","Sage Publishing","For-profit associated with a society","Hybrid","International Society for Adaptive Behavior (ISAB)","Society/Association","USA","https://journals.sagepub.com/home/adba","3788","0.434","Q1 (Philosophy)","64","No","1741-2633","1059-7123"
"Addiction","Addiction","John Wiley & Sons","For-profit associated with a society","Hybrid","Society for the Study of Addiction","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13600443","2472","2.399","Q1 (Medicine; Psychiatry and Mental Health)","232","No","1360-0443","0965-2140"
"Addiction Biology","Addiction","John Wiley & Sons","For-profit associated with a society","OA","Society for the Study of Addiction","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13691600","3057","0.921","Q1 (Medicine)","101","No","1369-1600","1355-6215"
"Addiction Research and Theory","Addiction","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/iart20","2973","0.746","Q2 (Medicine)","68","No","1476-7392","1606-6359"
"Addiction Science and Clinical Practice","Addiction","Springer Nature (BioMed Central)","For-profit","OA","Evans Medical Foundation","","UK","https://ascpjournal.biomedcentral.com/","2463","1.127","Q1 (Clinical Psychology; Psychiatry and Mental Health)","54","No","1940-0640","1940-0632"
"Addictive Behaviors","Addiction","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/addictive-behaviors","2339","1.547","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health; Toxicology)","166","No","1873-6327","0306-4603"
"Addictive Behaviors Reports","Addiction","Elsevier","For-profit","OA","","","UK","https://www.sciencedirect.com/journal/addictive-behaviors-reports","3841","1.025","Q1 (Clinical Psychology)","48","No","2352-8532","2352-8532"
"Aging Brain","Developmental Neuroscience","Elsevier","For-profit","OA","","","Netherlands","https://www.sciencedirect.com/journal/aging-brain","2189","0.979","Q2 (Geriatrics and Gerontology; Neuroscience)","13","No","2589-9589","2589-9589"
"Aging and Mental Health","Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/camh20","1690","1.207","Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health)","127","No","1364-6915","1360-7863"
"Alcohol","Addiction","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/alcohol","3641","0.697","Q2 (Biochemistry; Health; Medicine; Toxicology)","93","No","1873-6823","0741-8329"
"Alcohol and Alcoholism","Addiction","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/alcalc/?login=false","2989","0.803","Q2 (Medicine; Psychiatry and Mental Health; Toxicology)","115","No","1464-3502","0735-0414"
"Alzheimer Disease and Associated Disorders","Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/alzheimerjournal/pages/default.aspx","3122","0.485","Q2 (Clinical Psychology)","116","No","0893-0341",""
"Alzheimer's Research and Therapy","Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","Alzheimer's Disease International","","UK","https://alzres.biomedcentral.com/","3681","2.479","Q1 (Cognitive Neuroscience; Neurology)","123","No","1758-9193",""
"Alzheimer's and Dementia","Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","Alzheimer's Association","Society/Association","USA","https://alz-journals.onlinelibrary.wiley.com/journal/15525279","3394","4.53","Q1 (Cellular and Molecular Neuroscience; Developmental Neuroscience; Epidemiology; Geriatrics and Gerontology; Health Policy; Neurology; Psychiatry and Mental Health)","194","No","1552-5279","1552-5260"
"American Journal of Alzheimer's Disease and Other Dementias","Clinical Neuroscience","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/ajae","1302","1.002","Q1 (Clinical Psychology)","79","No","1938-2731","1533-3175"
"American Journal of Audiology","Sensory Neuroscience","American Speech-Language-Hearing Association (ASHA)","Non-profit","Hybrid","","","USA","https://pubs.asha.org/journal/aja","1812","0.633","Q2 (Speech and Hearing)","59","No","1558-9137","1059-0889"
"American Journal of Psychiatry","Clinical Neuroscience","American Psychiatric Association","Non-profit","Hybrid","American Psychiatric Association","Society/Association","USA","https://psychiatryonline.org/journal/ajp","2812","4.082","Q1 (Psychiatry and Mental Health)","418","No","1535-7228","0002-953X"
"American Journal of Speech and Language Pathology","Cognitive Neuroscience","American Speech-Language-Hearing Association (ASHA)","Non-profit","Hybrid","American Speech-Language-Hearing Association (ASHA)","Society/Association","USA","https://pubs.asha.org/journal/ajslp","1857","0.854","Q1 (Linguistics and Language; Otorhinolaryngology; Speech and Hearing)","98","No","1558-9110","1058-0360"
"Amyloid","Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","International Society of Amyloidosis","Society/Association","UK","https://www.tandfonline.com/journals/iamy20","3493","2.194","Q1 (Internal Medicine; Medicine)","82","No","1744-2818","1350-6129"
"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration","Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","World Federation of Neurology Research Group","","UK","https://www.tandfonline.com/journals/iafd20","2077","0.99","Q1 (Medicine)","93","No","2167-9223","2167-8421"
"Animal Cognition","Cognitive Neuroscience","Springer Nature","For-profit","OA","","","Germany","https://link.springer.com/journal/10071","3166","0.634","Q2 (Ecology, Evolution, Behavior and Systematics; Experimental and Cognitive Psychology)","100","No","1435-9456","1435-9448"
