"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Acta Botanica Brasilica","Generalist","Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB)","Non-profit","OA diamond","Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB)","Society/Association","Brazil","https://projetos.mestrescriativos.com.br/acta/","0","0.351","Q3 (Plant Science)","59","No","1677-941X","0102-3306"
"Adansonia","Generalist","Muséum national d'Histoire naturelle (MNHN)","Non-profit","OA diamond","Museum National d'Histoire Naturelle","University/Government","France","https://sciencepress.mnhn.fr/fr/periodiques/adansonia","0","0.39","Q2 (Plant Science)","18","No","1639-4798","1280-8571"
"Alpine Botany","Generalist","Springer Nature","For-profit associated with a society","Hybrid","Schweizerische Botanische Gesellschaft","Society/Association","Germany / UK","https://link.springer.com/journal/35","4451","0.959","Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)","38","No","1664-221X","1664-2201"
"American Fern Journal","Generalist","American Fern Society","Non-profit","","American Fern Society","Society/Association","USA","https://www.amerfernsoc.org/american-fern-journal","","0.242","Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)","31","No","","0002-8444"
"American Journal of Botany","Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","Botanical Society of America","Society/Association","USA","https://bsapubs.onlinelibrary.wiley.com/journal/15372197","618","0.916","Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)","186","No","1537-2197","0002-9122"
"Annales Botanici Fennici","Generalist","Finnish Zoological and Botanical Publishing Board","Non-profit","","Finnish Zoological and Botanical Publishing Board","Non-profit","Finland","https://bioone.org/journals/annales-botanici-fennici","","0.311","Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)","42","No","","0003-3847"
"Annals of Botany","Generalist","Oxford University Press (OUP)","University Press","OA","","","UK","https://academic.oup.com/aob","2955","1.292","Q1 (Plant Science)","224","No","1095-8290","0305-7364"
"Annual Review of Phytopathology","Pathology","Annual Reviews","Non-profit","Hybrid","","","USA","https://www.annualreviews.org/content/journals/phyto","4383","3.544","Q1 (Medicine; Plant Science)","204","No","1545-2107",""
"Annual Review of Plant Biology","Generalist","Annual Reviews","Non-profit","OA","","","USA","https://www.annualreviews.org/content/journals/arplant","","9.949","Q1 (Cell Biology; Molecular Biology; Physiology; Plant Science)","320","No","1545-2123","1543-5008"
"AoB Plants","Generalist","Oxford University Press (OUP)","University Press","OA","Annals of Botany Company","","UK","https://academic.oup.com/aobpla/?login=true","572","0.782","Q1 (Plant Science)","69","No","2041-2851",""
"Applications in Plant Sciences","Generalist","John Wiley & Sons","For-profit associated with a society","OA","Botanical Society of America","Society/Association","USA","https://bsapubs.onlinelibrary.wiley.com/journal/21680450","1544","0.889","Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)","51","No","2168-0450","2168-0450"
"Australian Systematic Botany","Generalist","CSIRO Publishing","Non-profit","Hybrid","Commonwealth Scientific and Industrial Research Organisation (CSIRO) Publishing","University/Government","Australia","https://connectsci.au/SB","","0.663","Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)","47","No","1446-5701","1030-1887"
"BMC Plant Biology","Generalist","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://bmcplantbiol.biomedcentral.com/","2840","1.188","Q1 (Plant Science)","172","No","1471-2229",""
"Botanical Journal of the Linnean Society","Generalist","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/botlinnean?login=true","3035","0.682","Q1 (Ecology, Evolution, Behavior and Systematics)","88","No","1095-8339","0024-4074"
"Botany","Generalist","Canadian Science Publishing","Non-profit","Hybrid","Canadian Botanical Association; Canadian Society of Plant Biologists; Canadian Society of Ecology and Evolution; Canadian Centre for Evidence-Informed Conservation","Society/Association","Canada","https://www.sciencedirect.com/org/journal/botany","2537","0.387","Q2 (Ecology; Plant Science)","102","No","1916-2804","1916-2790"
