Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Physiology,Physiology,Acta Physiologica,https://onlinelibrary.wiley.com/journal/17481716,For-profit Society-run,John Wiley & Sons,Scandinavian Physiological Society,Society/Association,USA,Hybrid,4977,,Yes,No,Yes,1.581,Q1 (Physiology),141,No,1748-1716,1748-1708,1748-1708
Physiology,Anatomy,Advances in Anatomic Pathology,https://journals.lww.com/anatomicpathology/pages/default.aspx,For-profit,Wolters Kluwer (Lippincott),,,Netherlands / USA,,,,Yes,No,No,1.027,Q1 (Anatomy; Pathology and Forensic Medicine),97,No,1072-4109,,1072-4109
Physiology,Nutrition,Advances in Nutrition,https://www.sciencedirect.com/journal/advances-in-nutrition,For-profit Society-run,Elsevier,American Society for Nutrition,Society/Association,Netherlands,OA,3927,,Yes,No,Yes,3.056,Q1 (Food Science; Medicine; Nutrition and Dietetics),160,No,2156-5376,2161-8313,2161-8313
Physiology,Aging,Age and Ageing,https://academic.oup.com/ageing?login=false,University Press,Oxford University Press (OUP),,,UK,Hybrid,2884,,Yes,No,Yes,2.152,Q1 (Aging; Geriatrics and Gerontology; Medicine),185,No,1468-2834,0002-0729,0002-0729
Physiology,Aging,Ageing International,https://link.springer.com/journal/12126,For-profit,Springer Nature,,,Germany / UK,Hybrid,2136,,Yes,No,No,0.502,Q2 (Health),51,No,1936-606X,0163-5158,0163-5158
Physiology,Aging,Ageing Research Reviews,https://www.sciencedirect.com/journal/ageing-research-reviews,For-profit,Elsevier,,,Netherlands,Hybrid,1300,,Yes,No,Yes,4.289,Q1 (Aging; Biochemistry; Biotechnology; Molecular Biology; Neurology),194,No,1872-9649,1568-1637,1568-1637
Physiology,Aging,Aging and Disease,https://www.aginganddisease.org/EN/2152-5250/home.shtml,Non-profit,International Society on Aging and Disease (ISOAD),International Society on Aging and Disease (ISOAD),Society/Association,USA,OA,2559,,Yes,Yes,Yes,2.784,Q1 (Cell Biology; Geriatrics and Gerontology; Neurology; Pathology and Forensic Medicine),99,No,2152-5250,2152-5250,2152-5250
Physiology,Aging,Aging and Mental Health,https://www.tandfonline.com/journals/camh20,For-profit,Taylor & Francis Group,,,UK,Hybrid,1690,,Yes,No,No,1.207,Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health),127,No,1364-6915,1360-7863,1360-7863
Physiology,Aging,Aging Cell,https://onlinelibrary.wiley.com/journal/14749726,For-profit Society-run,John Wiley & Sons,The Anatomical Society,Society/Association,UK,OA,2435,,Yes,Yes,Yes,2.881,Q1 (Aging; Cell Biology),191,No,1474-9726,1474-9718,1474-9718
Physiology,Aging,Aging Clinical and Experimental Research,https://link.springer.com/journal/40520,For-profit Society-run,Springer Nature,"European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases",Society/Association,Germany / UK,OA,3445,,Yes,No,Yes,1.24,Q1 (Geriatrics and Gerontology),102,No,1720-8319,1594-0667,1594-0667
Physiology,Physiology,American Heart Journal,https://www.sciencedirect.com/journal/american-heart-journal,For-profit,Elsevier,,,Netherlands,Hybrid,3156,,Yes,No,No,1.784,Q1 (Cardiology and Cardiovascular Medicine),218,No,1097-6744,0002-8703,0002-8703
Physiology,Physiology,American Journal of Physiology - Cell Physiology,https://journals.physiology.org/journal/ajpcell,Non-profit,American Physiological Society (APS),American Physiological Society,Society/Association,USA,Hybrid,3136,,Yes,No,Yes,1.822,Q1 (Cell Biology; Physiology),211,No,1522-1563,0363-6143,0363-6143
