Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Cancer Biology,Generalist,Acta Oncologica,https://www.tandfonline.com/journals/ionc20,For-profit,Taylor & Francis Group,Acta Oncologica Foundation,Non-profit,Sweden,OA,1749,,Yes,Yes,Yes,0.952,"Q1 (Medicine; Radiology, Nuclear Medicine and Imaging)",127,No,1651-226X,0284-186X,0284-186X
Cancer Biology,Generalist,Angiogenesis,https://link.springer.com/journal/10456,For-profit,Springer Nature,,,Germany / UK,Hybrid,1601,,Yes,No,Yes,2.713,Q1 (Cancer Research; Clinical Biochemistry; Physiology),111,No,1573-7209,0969-6970,0969-6970
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Angiology,https://journals.sagepub.com/home/ang,For-profit,Sage Publishing,,,USA,Hybrid,285,,Yes,No,No,0.715,Q2 (Cardiology and Cardiovascular Medicine),82,No,1940-1574,0003-3197,0003-3197
Cancer Biology,Generalist,Annals of Oncology,https://academic.oup.com/annonc,For-profit Society-Run,Elsevier,"European Society for Medical Oncology; Japanese Society of Medical Oncology,",Society/Association,UK,Hybrid,4200,,Yes,No,Yes,21.715,Q1 (Hematology; Medicine; Oncology),331,No,1569-8041,0923-7534,0923-7534
Cancer Biology,Generalist,Annual Review of Cancer Biology,https://www.annualreviews.org/content/journals/cancerbio,Non-profit,Annual Reviews,Annual Reviews,Non-profit,USA,OA,,,Yes,No,No,2.724,Q1 (Cancer Research; Cell Biology; Oncology),44,No,2472-3428,,2472-3428
Cancer Biology,Treatment,Anti-Cancer Drugs,https://journals.lww.com/anti-cancerdrugs/pages/currenttoc.aspx,For-profit,Wolters Kluwer (Lippincott),,,Netherlands / USA,Hybrid,2789,,Yes,No,No,0.506,Q3 (Oncology; Pharmacology),106,No,1473-5741,0959-4973,0959-4973
Cancer Biology,Treatment,Antimicrobial Agents and Chemotherapy,https://journals.asm.org/journal/aac,Non-profit,American Society for Microbiology (ASM),American Society for Microbiology (ASM),Society/Association,USA,Hybrid,3154,,Yes,No,Yes,1.473,Q1 (Infectious Diseases; Pharmacology),309,No,1098-6596,0066-4804,0066-4804
Cancer Biology,Generalist,Biochimica et Biophysica Acta - Reviews on Cancer,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-reviews-on-cancer,For-profit,Elsevier,,,Netherlands,Hybrid,2845,,Yes,No,No,2.882,Q1 (Cancer Research; Genetics; Oncology),174,No,1879-2561,0304-419X,0304-419X
Cancer Biology,Development and Oncology,Birth Defects Research,https://onlinelibrary.wiley.com/journal/24721727,For-profit Society-Run,John Wiley & Sons,Society for Birth Defects Research & Prevention,Society/Association,USA,Hybrid,3210,,Yes,No,Yes,0.56,"Q2 (Embryology; Pediatrics, Perinatology and Child Health)",48,No,2472-1727,2472-1727,2472-1727
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Blood Cancer Journal,https://www.nature.com/bcj/,For-profit,Springer Nature,,,Germany,OA,4334,,Yes,Yes,Yes,4.307,Q1 (Hematology; Oncology),94,No,2044-5385,,2044-5385
Cancer Biology,Generalist,BMC Cancer,https://bmccancer.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,3283,,Yes,Yes,Yes,1.172,Q2 (Cancer Research; Genetics; Oncology),180,No,1471-2407,,1471-2407
Cancer Biology,Treatment,Brachytherapy,https://www.brachyjournal.com/,For-profit Society-Run,Elsevier,American Brachytherapy Society,Society/Association,Netherlands,Hybrid,2768,,Yes,No,No,0.572,"Q2 (Radiology, Nuclear Medicine and Imaging)",62,No,1873-1449,1538-4721,1538-4721
Cancer Biology,Neuro-Oncology,Brain Tumor Pathology,https://link.springer.com/journal/10014,For-profit Society-Run,Springer Nature,The Japan Society of Brain Tumor Pathology,Society/Association,Germany / UK,Hybrid,3046,,Yes,No,No,0.623,Q2 (Medicine),49,No,1861-387X,1433-7398,1433-7398
Cancer Biology,Breast Cancer,Breast Cancer Research,https://breast-cancer-research.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,3582,,Yes,Yes,Yes,1.907,Q1 (Cancer Research; Oncology),186,No,1465-542X,1465-5411,1465-5411
Cancer Biology,Breast Cancer,Breast Cancer Research and Treatment,https://www.springer.com/journal/10549,For-profit,Springer Nature,,,Germany / UK,Hybrid,3115,,Yes,No,Yes,1.34,Q1 (Oncology),189,No,1573-7217,0167-6806,0167-6806
Cancer Biology,Breast Cancer,Breast Cancer: Basic and Clinical Research,https://journals.sagepub.com/home/bcba,For-profit,Sage Publishing,,,USA,OA,1355,,Yes,Yes,No,0.816,Q2 (Oncology),40,No,1178-2234,,1178-2234
Cancer Biology,Breast Cancer,Breast Disease,https://journals.sagepub.com/home/brd,For-profit,Sage Publishing (IOS Press),,,Germany / UK,,,,Yes,No,No,0.389,Q3 (Medicine; Oncology),38,No,1558-1551,0888-6008,0888-6008
Cancer Biology,Generalist,British Journal of Cancer,https://www.nature.com/bjc,For-profit,Springer Nature,,,Germany / UK,Hybrid,4245,,Yes,No,Yes,2.803,Q1 (Cancer Research; Oncology),290,No,1532-1827,0007-0920,0007-0920
Cancer Biology,Generalist,Bulletin du Cancer,https://www.sciencedirect.com/journal/bulletin-du-cancer,For-profit Society-Run,Elsevier,Société Française du Cancer,Society/Association,Netherlands,Hybrid,1519,,Yes,No,No,0.28,"Q3 (Medicine; Radiology, Nuclear Medicine and Imaging)",46,No,1769-6917,0007-4551,0007-4551
Cancer Biology,Generalist,Cancer,https://acsjournals.onlinelibrary.wiley.com/journal/10970142,For-profit Society-Run,John Wiley & Sons,American Cancer Society,Society/Association,USA,Hybrid,4924,,Yes,No,Yes,2.427,Q1 (Cancer Research; Oncology),359,No,1097-0142,0008-543X,0008-543X
Cancer Biology,Generalist,Cancer & Metastasis Reviews,https://www.springer.com/journal/10555,For-profit,Springer Nature,,,Germany / UK,Hybrid,2351,,Yes,No,No,3.223,Q1 (Cancer Research; Oncology),182,No,1573-7233,0167-7659,0167-7659
Cancer Biology,Generalist,Cancer Biology & Medicine,https://www.cancerbiomed.org/,Non-profit,Cancer Biology and Medicine,China Anticancer Association; Tianjin Medical University Cancer Institute and Hospital,Society/Association,China,OA,,,Yes,Yes,No,1.888,Q1 (Cancer Research; Oncology),78,No,,2095-3941,2095-3941
Cancer Biology,Treatment,Cancer Biotherapy and Radiopharmaceuticals,https://journals.sagepub.com/home/cbtd,For-profit,Sage Publishing (Mary Ann Liebert),,,USA,Hybrid,2849,,Yes,No,No,0.498,"Q2 (Radiology, Nuclear Medicine and Imaging)",74,No,1557-8852,1084-9785,1084-9785
Cancer Biology,Molecular and Cellular Oncology,Cancer Cell,https://www.cell.com/cancer-cell,For-profit,Elsevier (Cell Press),,,USA,Hybrid,9472,,Yes,No,Yes,26.632,Q1 (Cancer Research; Cell Biology; Oncology),436,No,1878-3686,1535-6108,1535-6108
Cancer Biology,Generalist,Cancer Cell International,https://cancerci.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2490,,Yes,Yes,Yes,1.75,Q1 (Genetics; Oncology),100,No,1475-2867,,1475-2867
Cancer Biology,Treatment,Cancer Chemotherapy and Pharmacology,https://link.springer.com/journal/280,For-profit,Springer Nature,,,Germany / UK,Hybrid,3092,,Yes,No,No,0.851,Q2 (Oncology; Pharmacology; Toxicology),132,No,1432-0843,0344-5704,0344-5704
Cancer Biology,Generalist,Cancer Communications,https://onlinelibrary.wiley.com/journal/25233548,For-profit Society-Run,John Wiley & Sons,Chinese Anti-Cancer Association; US Chinese Anti-Cancer Association,Society/Association,USA,OA,1523,,Yes,Yes,Yes,7.986,Q1 (Cancer Research; Oncology),108,No,2523-3548,2523-3548,2523-3548
Cancer Biology,Molecular and Cellular Oncology,Cancer Cytopathology,https://acsjournals.onlinelibrary.wiley.com/journal/19346638,For-profit Society-Run,John Wiley & Sons,American Cancer Society,Society/Association,USA,Hybrid,2194,,Yes,No,No,0.983,Q2 (Cancer Research; Oncology),78,No,1934-6638,1934-662X,1934-662X
Cancer Biology,Generalist,Cancer Discovery,https://aacrjournals.org/cancerdiscovery,Non-profit,American Association for Cancer Research (AACR),American Association for Cancer Research (AACR),Society/Association,USA,Hybrid,8285,,Yes,No,Yes,7.389,Q1 (Oncology),265,No,2159-8290,2159-8274,2159-8274
Cancer Biology,Treatment,Cancer Drug Resistance,https://www.oaepublish.com/cdr,For-profit,OAE Publishing Inc.,,,USA,OA,2007,,Yes,No,Yes,1.775,Q1 (Cancer Research; Pharmacology),36,No,2578-532X,,2578-532X
Cancer Biology,Generalist,Cancer Epidemiology,https://www.sciencedirect.com/journal/cancer-epidemiology,For-profit,Elsevier,,,Netherlands,Hybrid,3702,,Yes,No,Yes,1.036,Q2 (Cancer Research; Epidemiology; Oncology),94,No,1877-783X,1877-7821,1877-7821
Cancer Biology,Generalist,"Cancer Epidemiology, Biomarkers and Prevention",https://aacrjournals.org/cebp,Non-profit,American Association for Cancer Research (AACR),,,USA,Hybrid,3429,,Yes,No,Yes,1.426,Q1 (Epidemiology; Medicine; Oncology),223,No,1538-7755,1055-9965,1055-9965
Cancer Biology,Genetics,Cancer Genetics,https://www.sciencedirect.com/journal/cancer-genetics,For-profit Society-Run,Elsevier,Cancer Genomics Consortium,,Netherlands,Hybrid,2657,,Yes,No,No,1.251,Q1 (Genetics),59,No,2210-7770,2210-7762,2210-7762
Cancer Biology,Diagnostics/Biomarkers,Cancer Imaging,https://cancerimagingjournal.biomedcentral.com/,For-profit Society-Run,Springer Nature (BioMed Central),The International Cancer Imaging Society,Society/Association,UK,OA,2290,,Yes,Yes,Yes,1.16,"Q1 (Medicine; Radiological and Ultrasound Technology; Radiology, Nuclear Medicine and Imaging)",73,No,1470-7330,1740-5025,1470-7330
Cancer Biology,Treatment,"Cancer Immunology, Immunotherapy",https://link.springer.com/journal/262,For-profit,Springer Nature,,,Germany / UK,OA,3082,,Yes,Yes,Yes,1.805,Q1 (Cancer Research; Immunology; Immunology and Allergy; Medicine; Oncology),148,No,1432-0851,0340-7004,0340-7004
Cancer Biology,Generalist,Cancer Informatics,https://journals.sagepub.com/home/cixa,For-profit,Sage Publishing,,,USA,OA,1209,,Yes,Yes,No,0.539,Q3 (Oncology),42,No,1176-9351,,1176-9351
Cancer Biology,Generalist,Cancer Letters,https://www.journals.elsevier.com/cancer-letters,For-profit,Elsevier,,,Netherlands,Hybrid,4199,,Yes,No,Yes,3.066,Q1 (Cancer Research; Oncology),240,No,1872-7980,0304-3835,0304-3835
Cancer Biology,Generalist,Cancer Medicine,https://onlinelibrary.wiley.com/journal/20457634,For-profit,John Wiley & Sons,,,USA,OA,3156,,Yes,Yes,Yes,1.156,"Q1 (Radiology, Nuclear Medicine and Imaging)",105,No,2045-7634,2045-7634,2045-7634
Cancer Biology,Generalist,Cancer Pathogenesis and Therapy,https://www.sciencedirect.com/journal/cancer-pathogenesis-and-therapy,For-profit Society-Run,Elsevier,Chinese Medical Association (CMA),Society/Association,Netherlands,OA,1000,,Yes,Yes,No,0.889,Q1 (Pathology and Forensic Medicine),13,No,2949-7132,2097-2563,2949-7132
Cancer Biology,Generalist,Cancer Prevention Research,https://aacrjournals.directfrompublisher.com/catalog/journal/cancer-prevention-research,Non-profit,American Association for Cancer Research (AACR),,,USA,Hybrid,4486,,Yes,No,Yes,1.129,Q1 (Medicine),120,No,1940-6215,1940-6207,1940-6215
Cancer Biology,Generalist,Cancer Reports,https://onlinelibrary.wiley.com/journal/25738348,For-profit,John Wiley & Sons,,,USA,OA,1892,,Yes,Yes,No,0.707,Q3 (Cancer Research; Oncology),30,No,2573-8348,,2573-8348
Cancer Biology,Generalist,Cancer Research,https://aacrjournals.org/cancerres,Non-profit,American Association for Cancer Research (AACR),American Association for Cancer Research,Society/Association,USA,Hybrid,6668,,Yes,No,Yes,4.347,Q1 (Cancer Research; Oncology),522,No,1538-7445,0008-5472,0008-5472
Cancer Biology,Generalist,Cancer Research Communications,https://aacrjournals.org/cancerrescommun/,Non-profit,American Association for Cancer Research (AACR),,,USA,OA,2191,,Yes,Yes,Yes,1.773,Q1 (Cancer Research; Oncology),22,No,2767-9764,,2767-9764
Cancer Biology,Generalist,Cancer Science,https://onlinelibrary.wiley.com/journal/13497006,For-profit Society-Run,John Wiley & Sons,Japanese Cancer Association,Society/Association,USA,OA,2843,,Yes,Yes,Yes,1.509,Q1 (Medicine; Oncology),178,No,1349-7006,1347-9032,1347-9032
Cancer Biology,Treatment,Cancer Treatment Reviews,https://www.sciencedirect.com/journal/cancer-treatment-reviews,For-profit Society-Run,Elsevier,European Society for Medical Oncology (ESMO),Society/Association,Netherlands,Hybrid,4819,,Yes,No,Yes,3.745,"Q1 (Medicine; Oncology; Radiology, Nuclear Medicine and Imaging)",180,No,1532-1967,0305-7372,0305-7372
Cancer Biology,Treatment,Cancer/Radiothérapie,https://www.sciencedirect.com/journal/cancer-radiotherapie,For-profit Society-Run,Elsevier,Société française de radiothérapie oncologique (SFRO),Society/Association,Netherlands,Hybrid,2000,,Yes,No,No,0.481,"Q2 (Radiology, Nuclear Medicine and Imaging)",40,No,1769-6658,1278-3218,1278-3218
Cancer Biology,Generalist,Carcinogenesis,https://academic.oup.com/carcin,University Press,Oxford University Press (OUP),,,UK,Hybrid,2612,,Yes,No,No,1.02,Q1 (Medicine),230,No,1460-2180,0143-3334,0143-3334
Cancer Biology,Hematopoietic and Cardiovascular Cancer,Cardio-Oncology,https://cardiooncologyjournal.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2825,,Yes,Yes,Yes,0.85,Q2 (Cardiology and Cardiovascular Medicine; Oncology),29,No,2057-3804,,2057-3804
Cancer Biology,Molecular and Cellular Oncology,Cell Death & Disease,https://www.nature.com/cddis/,For-profit Society-Run,Springer Nature,Associazione Differenziamento e Morte Cellulare,Society/Association,Germany / UK,OA,4580,,Yes,Yes,Yes,3.291,Q1 (Cancer Research; Cell Biology; Cellular and Molecular Neuroscience; Immunology; Medicine),202,No,2041-4889,,2041-4889
Cancer Biology,Generalist,Clinical and Translational Oncology,https://link.springer.com/journal/12094,For-profit Society-Run,Springer Nature,Federation of Spanish Oncology Societies (FESEO),Society/Association,Germany / UK,Hybrid,3138,,Yes,No,No,0.833,Q2 (Medicine; Oncology),69,No,1699-3055,1699-048X,1699-048X
Cancer Biology,Treatment,Clinical and Translational Radiation Oncology,https://www.sciencedirect.com/journal/clinical-and-translational-radiation-oncology,For-profit Society-Run,Elsevier,The European Society for Radiotherapy and Oncology,Society/Association,Netherlands,OA,1660,,Yes,Yes,Yes,1.248,"Q1 (Oncology; Radiology, Nuclear Medicine and Imaging)",43,No,2405-6308,2405-6308,2405-6308
Cancer Biology,Generalist,Clinical Cancer Research,https://aacrjournals.org/clincancerres,Non-profit,American Association for Cancer Research (AACR),American Association for Cancer Research,Society/Association,USA,Hybrid,6622,,Yes,No,Yes,4.751,Q1 (Cancer Research; Oncology),405,No,1557-3265,1078-0432,1078-0432
Cancer Biology,Gastrointestinal cancer,Clinical Colorectal Cancer,https://www.sciencedirect.com/journal/clinical-colorectal-cancer,For-profit,Elsevier,,,Netherlands,Hybrid,2380,,Yes,No,No,0.976,Q2 (Gastroenterology; Oncology),71,No,1938-0674,1533-0028,1533-0028
