Journal,Field,Publisher,Publisher type,Business model,Institution,Institution type,Country,Website,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
African Journal of Range & Forage Science,applied_ecology,Taylor & Francis Group,For-profit Society-Run,Hybrid,Grassland Society of Southern Africa,Society,UK,https://www.tandfonline.com/journals/tarf20,2631,0.536,Q2 (Animal Science and Zoology; Ecology),38,No
African Journal of Wildlife Research,applied_ecology,Southern African Wildlife Management Association,Non-profit,Subscription,Southern African Wildlife Management Association,Society,,https://sawma.co.za/scope-and-information/,400,0.311,Q3 (Animal Science and Zoology; Ecology),39,No
Agronomy for Sustainable Development,applied_ecology,Springer Nature,For-profit,Hybrid,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Uni/Gov,Germany / UK,https://www.springer.com/journal/13593,2167,1.793,Q1 (Agronomy and Crop Science; Environmental Engineering),156,PCI friendly
Ambio,applied_ecology,Springer Nature,For-profit,Hybrid,Royal Swedish Academy of Sciences,Uni/Gov,Germany / UK,https://www.springer.com/journal/13280,3542,1.862,"Q1 (Ecology; Environmental Chemistry; Geography, Planning and Development; Medicine)",162,No
Animal Conservation,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Zoological Society of London,Society,USA,https://zslpublications.onlinelibrary.wiley.com/journal/14691795,2610,1.036,Q1 (Ecology; Nature and Landscape Conservation),101,No
Applied Vegetation Science,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,International Association for Vegetation Science,Society,USA,https://onlinelibrary.wiley.com/journal/1654109x,4034,0.855,Q1 (Ecology; Nature and Landscape Conservation),77,No
Aquatic Ecosystem Health & Management,applied_ecology,Michigan State University Press,University Press Society-Run,Subscription,Aquatic Ecosystem Health and Management Society,Society,,https://msupress.org/journals/aquatic-ecosystem-health-and-management/,100,0.3,"Q3 (Aquatic Science; Ecology; Management, Monitoring, Policy and Law)",51,No
Aquatic Living Resources,applied_ecology,EDP Science,For-profit,OA diamond,Institut de Recherche pour le Developpement / Institut Français de Recherche pour l'Exploitation de la Mer,Uni/Gov,France,https://www.alr-journal.org/,0,0.436,Q2 (Aquatic Science),74,PCI friendly
Biogeographia,applied_ecology,eScholarship,Non-profit,OA diamond,Italian Biogeography Society,Society,USA,https://escholarship.org/uc/biogeographia,0,0.387,Q2 (Ecology),11,No
Bird Conservation International,applied_ecology,Cambridge University Press (CUP),University Press,Hybrid,Bird Life International,Non-profit,UK,https://www.cambridge.org/core/journals/bird-conservation-international,406,0.505,Q2 (Animal Science and Zoology; Ecology; Nature and Landscape Conservation),53,No
Chelonian Conservation and Biology,applied_ecology,Allen press,For-profit,Hybrid,Chelonian Research Foundation / Turtle Conservation,Non-profit,,https://meridian.allenpress.com/ccb/pages/author-instructions,1831,0.334,Q2 (Animal Science and Zoology),38,No
Cities and the Environment,applied_ecology,Loyola Marymount University,Non-profit,OA diamond,Loyola Marymount University,Uni/Gov,USA,https://digitalcommons.lmu.edu/cate/,0,,,,No
Coastal Management,applied_ecology,Taylor & Francis Group,For-profit Society-Run,Hybrid,Coastal Society,Society,UK,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=ucmg20,2630,0.544,Q2 (Environmental Science),61,No
Conservation & Society,applied_ecology,Wolters Kluwer Medknow Publications,For-profit,OA,Ashoka Trust for Research in Ecology and the Environment,Uni/Gov,India,https://www.conservationandsociety.org.in/,601,0.504,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Management, Monitoring, Policy and Law; Nature and Landscape Conservation)",54,No
Conservation Biology,applied_ecology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Conservation Biology,Society,USA,https://conbio.onlinelibrary.wiley.com/journal/15231739,2270,2.222,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Medicine; Nature and Landscape Conservation)",257,No
Conservation Letters,applied_ecology,John Wiley & Sons,For-profit Society-Run,OA,Society for Conservation Biology,Society,USA,https://conbio.onlinelibrary.wiley.com/journal/1755263x,1749,2.405,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",115,No
Conservation Physiology,applied_ecology,Oxford University Press (OUP),University Press Society-Run,OA,Society for Experimental Biology,Society,UK,https://academic-oup-com.inee.bib.cnrs.fr/conphys,2039,0.827,Q1 (Nature and Landscape Conservation),59,No
