Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Development,Pregnancy and Embryology,"Advances in Anatomy, Embryology and Cell Biology",https://link.springer.com/series/0102,For-profit,Springer Nature,,,Germany / UK,,,,Yes,No,No,0.115,Q4 (Anatomy; Cell Biology; Developmental Biology; Embryology; Medicine),46,No,2192-7065,0301-5556,0301-5556
Development,Aging,Age and Ageing,https://academic.oup.com/ageing?login=false,University Press,Oxford University Press (OUP),,,UK,Hybrid,2884,,Yes,No,Yes,2.152,Q1 (Aging; Geriatrics and Gerontology; Medicine),185,No,1468-2834,0002-0729,0002-0729
Development,Aging,Ageing International,https://link.springer.com/journal/12126,For-profit,Springer Nature,,,Germany / UK,Hybrid,2136,,Yes,No,No,0.502,Q2 (Health),51,No,1936-606X,0163-5158,0163-5158
Development,Aging,Ageing Research Reviews,https://www.sciencedirect.com/journal/ageing-research-reviews,For-profit,Elsevier,,,Netherlands,Hybrid,1300,,Yes,No,Yes,4.289,Q1 (Aging; Biochemistry; Biotechnology; Molecular Biology; Neurology),194,No,1872-9649,1568-1637,1568-1637
Development,Aging,Aging and Disease,https://www.aginganddisease.org/EN/2152-5250/home.shtml,Non-profit,International Society on Aging and Disease (ISOAD),International Society on Aging and Disease (ISOAD),Society/Association,USA,OA,2559,,Yes,Yes,Yes,2.784,Q1 (Cell Biology; Geriatrics and Gerontology; Neurology; Pathology and Forensic Medicine),99,No,2152-5250,2152-5250,2152-5250
Development,Aging,Aging and Mental Health,https://www.tandfonline.com/journals/camh20,For-profit,Taylor & Francis Group,,,UK,Hybrid,1690,,Yes,No,No,1.207,Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health),127,No,1364-6915,1360-7863,1360-7863
Development,Neuroscience,Aging Brain,https://www.sciencedirect.com/journal/aging-brain,For-profit,Elsevier,,,Netherlands,OA,2189,,Yes,Yes,Yes,0.979,Q2 (Geriatrics and Gerontology; Neuroscience),13,No,2589-9589,2589-9589,2589-9589
Development,Aging,Aging Cell,https://onlinelibrary.wiley.com/journal/14749726,For-profit Society-run,John Wiley & Sons,The Anatomical Society,Society/Association,UK,OA,2435,,Yes,Yes,Yes,2.881,Q1 (Aging; Cell Biology),191,No,1474-9726,1474-9718,1474-9718
Development,Aging,Aging Clinical and Experimental Research,https://link.springer.com/journal/40520,For-profit Society-run,Springer Nature,"European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases",Society/Association,Germany / UK,OA,3445,,Yes,No,Yes,1.24,Q1 (Geriatrics and Gerontology),102,No,1720-8319,1594-0667,1594-0667
Development,Genetics,American Journal of Medical Genetics Part A,https://onlinelibrary.wiley.com/journal/15524833,For-profit,John Wiley & Sons,,,USA,Hybrid,2508,,Yes,No,No,0.731,Q2 (Genetics),141,No,1552-4833,1552-4825,1552-4825
