Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Ecology & Evolution,Zoology,Acarologia,https://www1.montpellier.inra.fr/CBGP/acarologia/index.php,Non-profit,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,University/Government,France,OA diamond,0,,Yes,Yes,No,0.519,Q2 (Insect Science),30,PCI friendly,2107-7207,0044-586X,0044-586X
Ecology & Evolution,Genetics,Acta Amazonica,https://acta.inpa.gov.br/,Non-profit,Instituto Nacional de Pesquisas da Amazonia,Instituto Nacional de Pesquisas da Amazonia,University/Government,Brazil,OA diamond,0,,Yes,Yes,No,0.355,Q2 (Agricultural and Biological Sciences),41,No,,0044-5967,0044-5967
Ecology & Evolution,Genetics,Acta Botanica Brasilica,https://acta.botanica.org.br/,Non-profit,Sociedade Botanica do Brasil,Sociedade Botanica do Brasil,Society/Association,Brazil,OA,,,Yes,Yes,No,0.351,Q3 (Plant Science),59,No,1677-941X,0102-3306,0102-3306
Ecology & Evolution,Zoology,Acta Chiropterologica,https://bioone.org/journals/acta-chiropterologica/,Non-profit,Museum and Institute of Zoology / Polish Academy of Sciences,Museum and Institute of Zoology / Polish Academy of Sciences,University/Government,Poland,Subscription,,,Yes,No,No,0.422,Q2 (Animal Science and Zoology),48,No,,1508-1109,1508-1109
Ecology & Evolution,Zoology,Acta Herpetologica,https://oaj.fupress.net/index.php/ah/index,University Press Society-Run,Firenze University Press,Societas Herpetologica Italica,Society/Association,Italy,OA diamond,0,,Yes,Yes,No,0.348,Q2 (Animal Science and Zoology),22,No,1827-9643,1827-9635,1827-9635
Ecology & Evolution,Zoology,Acta Ornithologica,https://bioone.org/journals/acta-ornithologica/,Non-profit,Museum and Institute of Zoology / Polish Academy of Sciences,Museum and Institute of Zoology / Polish Academy of Sciences,University/Government,Poland,Subscription,,,Yes,No,No,0.574,Q1 (Animal Science and Zoology),39,No,,0001-6454,0001-6454
Ecology & Evolution,Health,Acta Parasitologica,https://www.springer.com/journal/11686,For-profit Society-Run,Springer Nature,W. Stefanski Institute of Parasitology of the Polish Academy of Sciences,Society/Association,Germany / UK,Hybrid,2090,,Yes,No,No,0.389,Q3 (Parasitology),44,No,1896-1851,1230-2821,1230-2821
Ecology & Evolution,Genetics,Adansonia,https://sciencepress.mnhn.fr/fr/periodiques/adansonia,Non-profit,Museum National d'Histoire Naturelle,Museum National d'Histoire Naturelle,University/Government,France,OA diamond,0,,Yes,Yes,No,0.39,Q2 (Plant Science),18,No,1639-4798,1280-8571,1280-8571
Ecology & Evolution,Zoology,African Entomology,https://www.africanentomology.com/,Non-profit,Khulisa Journals,Entomological Society of Southern Africa,Society/Association,South Africa,OA,336,,Yes,Yes,Yes,0.277,"Q3 (Agronomy and Crop Science; Ecology, Evolution, Behavior and Systematics; Insect Science)",38,No,2224-8854,1021-3589,1021-3589
Ecology & Evolution,Zoology,African Invertebrates,https://africaninvertebrates.pensoft.net/,For-profit Society-run,Pensoft,KwaZulu-Natal Museum,University/Government,South Africa,OA,431,,Yes,Yes,Yes,0.294,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Insect Science; Paleontology)",21,No,2305-2562,1681-5556,1681-5556
Ecology & Evolution,Genetics,African Journal of Ecology,https://onlinelibrary.wiley.com/journal/13652028,For-profit Society-Run,John Wiley & Sons,The East African Wildlife Society,Society/Association,USA,Hybrid,2446,,Yes,No,No,0.355,"Q3 (Ecology, Evolution, Behavior and Systematics)",67,No,1365-2028,0141-6707,0141-6707
