Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Genetics & Genomics,Human Genetics,American Journal of Human Genetics,https://www.cell.com/ajhg/,For-profit,Elsevier (Cell Press),,,USA,Hybrid,4686,,Yes,No,No,4.204,Q1 (Genetics),348,No,1537-6605,0002-9297,0002-9297
Genetics & Genomics,Medical Genetics,American Journal of Medical Genetics Part A,https://onlinelibrary.wiley.com/journal/15524833,For-profit,John Wiley & Sons,,,USA,Hybrid,2508,,Yes,No,No,0.731,Q2 (Genetics),141,No,1552-4833,1552-4825,1552-4825
Genetics & Genomics,Medical Genetics,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,https://onlinelibrary.wiley.com/journal/1552485X,For-profit,John Wiley & Sons,,,USA,Hybrid,1849,,Yes,No,No,0.74,Q2 (Psychiatry and Mental Health),142,No,1552-485X,1552-4841,1552-4841
Genetics & Genomics,Medical Genetics,American Journal of Medical Genetics Part C: Seminars in Medical Genetics,https://onlinelibrary.wiley.com/journal/15524876,For-profit,John Wiley & Sons,,,USA,Hybrid,1695,,Yes,No,No,1.201,Q2 (Genetics),122,No,1552-4876,1552-4868,1552-4868
Genetics & Genomics,Genetics,Animal Genetics,https://onlinelibrary.wiley.com/journal/13652052,For-profit,John Wiley & Sons,,,USA,Hybrid,2970,,Yes,No,Yes,0.526,Q2 (Animal Science and Zoology),99,No,1365-2052,0268-9146,0268-9146
Genetics & Genomics,Generalist,Annals of Human Genetics,https://onlinelibrary.wiley.com/journal/14691809,For-profit,John Wiley & Sons,,,USA,Hybrid,2007,,Yes,No,No,0.605,Q3 (Genetics),81,No,1469-1809,0003-4800,0003-4800
Genetics & Genomics,Generalist,Annual Review of Genetics,https://www.annualreviews.org/journal/genet,Non-profit,Annual Reviews,,,USA,,,,Yes,No,No,5.472,Q1 (Genetics),214,No,1545-2948,0066-4197,0066-4197
Genetics & Genomics,Human Genetics,Annual Review of Genomics and Human Genetics,https://www.annualreviews.org/content/journals/genom,Non-profit,Annual Reviews,,,USA,Subscription,,,Yes,No,No,4.063,Q1 (Genetics; Molecular Biology),140,No,1545-293X,1527-8204,1527-8204
Genetics & Genomics,Genetics,Behavior Genetics,https://link.springer.com/journal/10519,For-profit Society-Run,Springer Nature,Behavior Genetics Association,Society/Association,Germany / UK,Hybrid,2282,,Yes,No,No,0.796,"Q1 (Ecology, Evolution, Behavior and Systematics)",110,No,1573-3297,0001-8244,0001-8244
Genetics & Genomics,Epigenetics,Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-gene-regulatory-mechanisms,For-profit,Elsevier,,,Netherlands,Hybrid,2733,Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,Yes,No,No,1.069,Q1 (Biophysics),152,No,1876-4320,1874-9399,1874-9399
Genetics & Genomics,Generalist,BioEssays,https://onlinelibrary.wiley.com/journal/15211878,For-profit,John Wiley & Sons,,,USA,Hybrid,2798,,Yes,No,No,1.151,"Q1 (Biochemistry, Genetics and Molecular Biology)",213,No,1521-1878,0265-9247,0265-9247
