Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
Health,Generalist,Journal of Global Health,https://jogh.org/,Non-profit,International Society of Global Health,International Society of Global Health,Society,USA,OA,2085,1.172,"Q1 (Health Policy; Public Health, Environmental and Occupational Health)",71,No
Health,Ecology,Journal of Wildlife Diseases,https://meridian.allenpress.com/jwd,Non-profit,Wildlife Disease Association (WDA),Wildlife Disease Association (WDA),Society,,Hybrid,1403,0.443,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",81,No
Health,Generalist,One Health,https://www.sciencedirect.com/journal/one-health,For-profit Society-run,Elsevier,International Federation for Tropical Medicine,,Netherlands,OA,1589,1.202,"Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health)",43,No
Health,Sport Science,Peer Community In Health and Movement Sciences,https://healthmovsci.peercommunityin.org/,Non-profit,Peer Community In,Peer Community In,,France,,,,,,No
Health,Infectious Diseases,Peer Community In Infections,https://infections.peercommunityin.org/,Non-profit,Peer Community In,Peer Community In,,France,,,,,,No
Health,Infectious Diseases,Plos Neglected Tropical Diseases,https://journals.plos.org/plosntds/,Non-profit,Public Library of Science (PLoS),Public Library of Science (PLoS),,USA,OA,2236,1.37,"Q1 (Infectious Diseases; Pharmacology, Toxicology and Pharmaceutics; Public Health, Environmental and Occupational Health)",172,No
Health,Infectious Diseases,Transboundary and Emerging Diseases,https://onlinelibrary.wiley.com/journal/tbed,For-profit,John Wiley & Sons,,,USA,Hybrid,3421,0.919,Q1 (Immunology and Microbiology; Medicine; Veterinary),92,No
Health,Infectious Diseases,Acta tropica,https://www.sciencedirect.com/journal/acta-tropica,For-profit,Elsevier,,,Netherlands,Hybrid,2145,0.752,Q1 (Insect Science; Veterinary),122,No
Health,Ecology,Ecohealth,https://link.springer.com/journal/10393,For-profit Society-run,Springer Nature,Nature.Health.Global,,Germany / UK,Hybrid,2220,0.546,Q2 (Ecology),76,No
Health,Infectious Diseases,Eurosurveillance,https://www.eurosurveillance.org/,Non-profit,European Union,,University/Government,EU,OA diamond,0,2.331,"Q1 (Epidemiology; Infectious Diseases; Medicine; Microbiology; Public Health, Environmental and Occupational Health; Virology)",137,No
Health,Generalist,"Evolution, Medicine, and Public Health",https://academic.oup.com/emph?login=true,University Press Society-Run,Oxford University Press (OUP),"International Society for Evolution, Medicine & Public Health",Society,UK,OA,2894,0.835,"Q1 (Ecology, Evolution, Behavior and Systematics)",36,No
Health,Infectious Diseases,"Parasites, Hosts and Diseases",https://www.parahostdis.org/index.php,Non-profit,The Korean Society for Parasitology and Tropical Medicine,The Korean Society for Parasitology and Tropical Medicine,Society,South Korea,OA,,0.403,Q3 (Infectious Diseases; Parasitology),51,No
Health,Physiology,Acta Physiologica,https://onlinelibrary.wiley.com/journal/17481716,For-profit Society-run,John Wiley & Sons,Scandinavian Physiological Society,Society,USA,Hybrid,5202,1.528,Q1 (Physiology),135,No
Health,Sport Science,Journal of Science and Medicine in Sport,https://www.sciencedirect.com/journal/journal-of-science-and-medicine-in-sport,For-profit Society-Run,Elsevier,Sports Medicine Australia (SMA); Australasian Academy of Podiatric Sports Medicine (AAPSM); Exercise and Sports Science Australia (ESSA); Australian Physiotherapy Association - Sports Physiotherapy Australia (SPA); College of Sport Psychologists (COSP); Sports Dietitians Australia (SDA); Australasian College of Sports & Exercise Physicians (ACSEP),Society,Netherlands,Hybrid,2364,1.319,"Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)",133,No
Health,Sport Science,Journal of Physical Activity and Health,https://journals.humankinetics.com/view/journals/jpah/jpah-overview.xml,For-profit Society-run,Human Kinetics,International Society for Physical Activity and Health,Society,,Hybrid,2043,1.082,"Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Public Health, Environmental and Occupational Health)",93,No
Health,Sport Science,Human Movement Science,https://www.sciencedirect.com/journal/human-movement-science,For-profit,Elsevier,,,Netherlands,Hybrid,1910,0.614,Q2 (Biophysics; Medicine; Orthopedics and Sports Medicine),109,No
Health,Sport Science,Exercise and Sport Sciences Reviews,https://journals.lww.com/acsm-essr/pages/default.aspx,For-profit Society-run,Wolters Kluwer (Lippincott),American College of Sports Medicine (ACSM),,Netherlands / USA,Hybrid,3958,1.346,"Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)",122,No
Health,Sport Science,European Journal of Sport Science,https://onlinelibrary.wiley.com/journal/15367290,For-profit Society-run,John Wiley & Sons,European College of Sport Science,,USA,Hybrid,2468,1.161,"Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)",87,No
Health,Sport Science,Clinical Journal of Sport Medicine,https://journals.lww.com/cjsportsmed/pages/currenttoc.aspx,For-profit,Wolters Kluwer (Lippincott),,,Netherlands / USA,,,0.72,"Q2 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)",121,No
Health,Sport Science,British Journal of Sports Medicine,https://bjsm.bmj.com/,Non-profit,BMJ Group,,,UK,Hybrid,4443,4.724,"Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)",241,No
Health,Sport Science,BMJ Open Sport and Exercise Medicine,https://bmjopensem.bmj.com/,Non-profit,BMJ Group,British Association of Sport & Exercise Medicine,Society,UK,OA,2103,1.33,"Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)",51,No
Health,Sport Science,"BMC sports science, medicine and rehabilitation",https://bmcsportsscimedrehabil.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,1844,0.875,"Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Rehabilitation)",39,No
Health,Sport Science,The American Journal of Sports Medicine,https://journals.sagepub.com/home/ajs,For-profit Society-run,Sage Publishing,American Orthopaedic Society for Sports Medicine,Society,USA,,,2.26,"Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)",277,No
Health,Physiology,Physiological Reviews,https://journals.physiology.org/journal/physrev,Non-profit,American Physiological Society,American Physiological Society,Society,USA,Hybrid,4096,12.167,Q1 (Medicine; Molecular Biology; Physiology),401,No
Health,Physiology,Physiology,https://journals.physiology.org/journal/physiologyonline,Non-profit,American Physiological Society,American Physiological Society,Society,USA,,,1.873,Q1 (Physiology),149,No
