Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Immunology,Parasitology,Acta Parasitologica,https://link.springer.com/journal/11686,For-profit,Springer Nature,,,Germany / UK,Hybrid,2090,,Yes,No,No,0.389,Q3 (Parasitology),44,No,1896-1851,1230-2821,1230-2821
Immunology,Virology,Acta tropica,https://www.sciencedirect.com/journal/acta-tropica,For-profit,Elsevier,,,Netherlands,Hybrid,2026,,Yes,No,Yes,0.676,Q1 (Insect Science; Veterinary),126,No,1873-6254,0001-706X,0001-706X
Immunology,Virology,Acta Virologica,https://www.frontierspartnerships.org/journals/acta-virologica,Predatory For-profit,Frontiers Media SA,Biomedical Research Centre of the Slovak Academy of Sciences,,Switzerland,OA,1950,,Yes,Yes,No,0.261,Q3 (Infectious Diseases; Medicine),40,No,1336-2305,0001-723X,0001-723X
Immunology,Generalist/Classical Immunology,Advances in Immunology,https://www.sciencedirect.com/bookseries/advances-in-immunology,For-profit,Elsevier,,,Netherlands,,,,Yes,No,No,0.465,Q3 (Immunology; Immunology and Allergy),121,No,1557-8445,0065-2776,0065-2776
Immunology,Virology,Advances in Virus Research,https://www.sciencedirect.com/bookseries/advances-in-virus-research,For-profit,Elsevier,,,Netherlands,,,,Yes,No,No,0.616,Q2 (Infectious Diseases; Medicine; Virology),112,No,1557-8399,0065-3527,0065-3527
Immunology,Virology,AIDS,https://journals.lww.com/aidsonline/pages/default.aspx,For-profit,Wolters Kluwer (Lippincott),,,Netherlands / USA,Hybrid,4387,,Yes,No,Yes,1.141,Q1 (Infectious Diseases),237,No,1473-5571,0269-9370,0269-9370
Immunology,Virology,AIDS and behavior,https://link.springer.com/journal/10461,For-profit,Springer Nature,,,Germany / UK,Hybrid,3445,,Yes,No,Yes,1.084,"Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)",139,No,1573-3254,1090-7165,1090-7165
Immunology,Virology,AIDS Research and Human Retroviruses,https://home.liebertpub.com/publications/aids-research-and-human-retroviruses/2/overview,For-profit,Sage Publishing (Mary Ann Liebert),,,USA,Hybrid,2791,,Yes,No,No,0.516,Q3 (Immunology; Infectious Diseases; Virology),100,No,1931-8405,0889-2229,0889-2229
Immunology,Virology,AIDS Research and Therapy,https://aidsrestherapy.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2649,,Yes,Yes,Yes,0.934,Q2 (Molecular Medicine; Pharmacology; Virology),54,No,1742-6405,,1742-6405
Immunology,Virology,AIDS Reviews,https://www.aidsreviews.com/,For-profit,Permanyer Publications,,,Spain,OA,,,Yes,No,No,0.972,Q1 (Medicine; Pharmacology),64,No,1698-6997,1139-6121,1139-6121
