Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Access Microbiology,https://www.microbiologyresearch.org/content/journal/acmi,Non-profit,Microbiology Society,Microbiology Society,Society/Association,UK,OA,912,,Yes,Yes,Yes,0.406,Q3 (Microbiology),20,No,2516-8290,,2516-8290
Molecular & Cellular Biology,Biochemistry and Molecular Biology,ACS Chemical Biology,https://pubs.acs.org/journal/acbcct?src=UCV000017_BLH,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,3600,,Yes,No,Yes,1.374,Q1 (Biochemistry; Medicine; Molecular Medicine),151,No,1554-8937,1554-8929,1554-8929
Molecular & Cellular Biology,Neuroscience and Neurobiology,ACS Chemical Neuroscience,https://pubs.acs.org/journal/acncdm,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,4163,,Yes,No,Yes,1.1,Q1 (Medicine),112,No,1948-7193,1948-7193,1948-7193
Molecular & Cellular Biology,Biotechnology and Bioengineering,ACS Synthetic Biology,https://pubs.acs.org/journal/asbcd6,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,3683,,Yes,No,Yes,1.419,"Q1 (Biochemistry, Genetics and Molecular Biology; Biomedical Engineering; Medicine)",111,No,2161-5063,2161-5063,2161-5063
Molecular & Cellular Biology,Cell Biology and Developmental Biology,Acta Cytologica,https://karger.com/acy,For-profit Society-Run,Karger Publishers,International Academy of Cytology,,Switzerland,Hybrid,3600,,Yes,No,Yes,0.404,Q3 (Histology; Medicine; Pathology and Forensic Medicine),70,No,1938-2650,0001-5547,0001-5547
Molecular & Cellular Biology,Pharmacology and Toxicology,Acta Pharmaceutica Sinica B,https://www.sciencedirect.com/journal/acta-pharmaceutica-sinica-b,For-profit Society-Run,Elsevier,Institute of Materia Medica; Chinese Academy of Medical Sciences; Chinese Pharmaceutical Association,Society/Association,Netherlands,OA,,,Yes,Yes,No,3.439,"Q1 (Pharmacology, Toxicology and Pharmaceutics)",146,No,2211-3843,2211-3835,2211-3835
Molecular & Cellular Biology,Pharmacology and Toxicology,Acta Pharmacologica Sinica,https://www.nature.com/aps/,For-profit,Springer Nature,,,Germany / UK,Hybrid,3545,,Yes,No,Yes,2.691,Q1 (Medicine; Pharmacology),134,No,1745-7254,1671-4083,1671-4083
Molecular & Cellular Biology,Microbiology and Infectious Diseases,Acta tropica,https://www.sciencedirect.com/journal/acta-tropica,For-profit,Elsevier,,,Netherlands,Hybrid,2026,,Yes,No,Yes,0.676,Q1 (Insect Science; Veterinary),126,No,1873-6254,0001-706X,0001-706X
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Adipocyte,https://www.tandfonline.com/journals/kadi20,For-profit,Taylor & Francis Group,,,UK,OA,2652,,Yes,Yes,Yes,0.974,Q1 (Histology),43,No,2162-397X,2162-3945,2162-3945
Molecular & Cellular Biology,Biochemistry and Molecular Biology,Advances and Applications in Bioinformatics and Chemistry,https://www.tandfonline.com/journals/daab20,For-profit,Taylor & Francis Group (Dovepress),,,UK,OA,,,Yes,No,No,0.644,"Q2 (Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science Applications)",21,No,1178-6949,,1178-6949
