Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Neurosciences,Clinical Neuroscience,Acta Neuropathologica,https://link.springer.com/journal/401,For-profit,Springer Nature,,,Germany / UK,Hybrid,3745,,Yes,No,Yes,4.191,Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine),241,No,1432-0533,0001-6322,0001-6322
Neurosciences,Clinical Neuroscience,Acta Neuropathologica Communications,https://actaneurocomms.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2876,,Yes,Yes,Yes,2.466,Q1 (Cellular and Molecular Neuroscience; Neurology; Pathology and Forensic Medicine),108,No,2051-5960,,2051-5960
Neurosciences,Clinical Neuroscience,Acta Neuropsychiatrica,https://www.cambridge.org/core/journals/acta-neuropsychiatrica,University Press,Cambridge University Press (CUP),,,UK,Hybrid,2418,,Yes,No,No,0.677,Q2 (Psychiatry and Mental Health),49,No,1601-5215,0924-2708,0924-2708
Neurosciences,Clinical Neuroscience,Acta Psychiatrica Scandinavica,https://onlinelibrary.wiley.com/journal/16000447,For-profit,John Wiley & Sons,,,USA,Hybrid,2340,,Yes,No,No,2.035,Q1 (Psychiatry and Mental Health),182,No,1600-0447,0001-690X,0001-690X
Neurosciences,Generalist,Adaptive Behavior,https://journals.sagepub.com/home/adba,For-profit Society-Run,Sage Publishing,International Society for Adaptive Behavior (ISAB),Society/Association,USA,Hybrid,3788,,Yes,No,No,0.434,Q1 (Philosophy),64,No,1741-2633,1059-7123,1059-7123
Neurosciences,Addiction,Addiction,https://onlinelibrary.wiley.com/journal/13600443,For-profit Society-Run,John Wiley & Sons,Society for the Study of Addiction,Society/Association,USA,Hybrid,2472,,Yes,No,No,2.399,Q1 (Medicine; Psychiatry and Mental Health),232,No,1360-0443,0965-2140,0965-2140
Neurosciences,Addiction,Addiction Biology,https://onlinelibrary.wiley.com/journal/13691600,For-profit Society-Run,John Wiley & Sons,Society for the Study of Addiction,Society/Association,USA,OA,3057,,Yes,Yes,Yes,0.921,Q1 (Medicine),101,No,1369-1600,1355-6215,1355-6215
Neurosciences,Addiction,Addiction Research and Theory,https://www.tandfonline.com/journals/iart20,For-profit,Taylor & Francis Group,,,UK,Hybrid,2973,,Yes,No,No,0.746,Q2 (Medicine),68,No,1476-7392,1606-6359,1476-7392
Neurosciences,Addiction,Addiction Science and Clinical Practice,https://ascpjournal.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),Evans Medical Foundation,,UK,OA,2463,,Yes,Yes,Yes,1.127,Q1 (Clinical Psychology; Psychiatry and Mental Health),54,No,1940-0640,1940-0632,1940-0632
Neurosciences,Addiction,Addictive Behaviors,https://www.sciencedirect.com/journal/addictive-behaviors,For-profit,Elsevier,,,Netherlands,Hybrid,2339,,Yes,No,No,1.547,Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health; Toxicology),166,No,1873-6327,0306-4603,0306-4603
Neurosciences,Addiction,Addictive Behaviors Reports,https://www.sciencedirect.com/journal/addictive-behaviors-reports,For-profit,Elsevier,,,UK,OA,3841,,Yes,Yes,Yes,1.025,Q1 (Clinical Psychology),48,No,2352-8532,2352-8532,2352-8532
Neurosciences,Clinical Neuroscience,Aging and Mental Health,https://www.tandfonline.com/journals/camh20,For-profit,Taylor & Francis Group,,,UK,Hybrid,1690,,Yes,No,No,1.207,Q1 (Geriatrics and Gerontology; Gerontology; Psychiatry and Mental Health),127,No,1364-6915,1360-7863,1360-7863
Neurosciences,Developmental Neuroscience,Aging Brain,https://www.sciencedirect.com/journal/aging-brain,For-profit,Elsevier,,,Netherlands,OA,2189,,Yes,Yes,Yes,0.979,Q2 (Geriatrics and Gerontology; Neuroscience),13,No,2589-9589,2589-9589,2589-9589
Neurosciences,Generalist,AI in Neuroscience,https://journals.sagepub.com/home/aina,For-profit Society-Run,Sage Publishing,National Neurotrauma Society,Society/Association,USA,Hybrid,3558,,No,No,No,,,,No,2997-979X,2997-9781,2997-9781
Neurosciences,Clinical Neuroscience,AIDS and behavior,https://link.springer.com/journal/10461,For-profit,Springer Nature,,,Germany / UK,Hybrid,3445,,Yes,No,Yes,1.084,"Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health; Social Psychology)",139,No,1573-3254,1090-7165,1090-7165
Neurosciences,Addiction,Alcohol,https://www.sciencedirect.com/journal/alcohol,For-profit,Elsevier,,,Netherlands,Hybrid,3641,,Yes,No,Yes,0.697,Q2 (Biochemistry; Health; Medicine; Toxicology),93,No,1873-6823,0741-8329,0741-8329
Neurosciences,Addiction,Alcohol and Alcoholism,https://academic.oup.com/alcalc/?login=false,University Press,Oxford University Press (OUP),,,UK,Hybrid,2989,,Yes,No,No,0.803,Q2 (Medicine; Psychiatry and Mental Health; Toxicology),115,No,1464-3502,0735-0414,0735-0414
