Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Plant Biology,Generalist,Acta Botanica Brasilica,https://projetos.mestrescriativos.com.br/acta/,Non-profit,Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB),Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB),Society/Association,Brazil,OA diamond,0,,Yes,Yes,No,0.351,Q3 (Plant Science),59,No,1677-941X,0102-3306,0102-3306
Plant Biology,Generalist,Adansonia,https://sciencepress.mnhn.fr/fr/periodiques/adansonia,Non-profit,Museum National d'Histoire Naturelle,Museum National d'Histoire Naturelle,University/Government,France,OA diamond,0,,Yes,Yes,No,0.39,Q2 (Plant Science),18,No,1639-4798,1280-8571,1280-8571
Plant Biology,Generalist,Alpine Botany,https://link.springer.com/journal/35,For-profit Society-run,Springer Nature,Schweizerische Botanische Gesellschaft,Society/Association,Germany / UK,Hybrid,4451,,Yes,No,No,0.959,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",38,No,1664-221X,1664-2201,1664-221X
Plant Biology,Generalist,American Fern Journal,https://www.amerfernsoc.org/american-fern-journal,Non-profit,American Fern Society,American Fern Society,Society/Association,USA,,,,Yes,No,No,0.242,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",31,No,,0002-8444,0002-8444
Plant Biology,Generalist,American Journal of Botany,https://bsapubs.onlinelibrary.wiley.com/journal/15372197,For-profit Society-run,John Wiley & Sons,Botanical Society of America,Society/Association,USA,Hybrid,618,,Yes,No,No,0.916,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",186,No,1537-2197,0002-9122,0002-9122
Plant Biology,Generalist,Annales Botanici Fennici,https://bioone.org/journals/annales-botanici-fennici,Non-profit,Finnish Zoological and Botanical Publishing Board,Finnish Zoological and Botanical Publishing Board,Non-profit,Finland,,,,Yes,No,No,0.311,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",42,No,,0003-3847,0003-3847
Plant Biology,Generalist,Annals of Botany,https://academic.oup.com/aob,University Press,Oxford University Press (OUP),,,UK,OA,2955,,Yes,No,Yes,1.292,Q1 (Plant Science),224,No,1095-8290,0305-7364,0305-7364
Plant Biology,Pathology,Annual Review of Phytopathology,https://www.annualreviews.org/content/journals/phyto,Non-profit,Annual Reviews,,,USA,Hybrid,4383,,Yes,No,No,3.544,Q1 (Medicine; Plant Science),204,No,1545-2107,,
Plant Biology,Generalist,Annual Review of Plant Biology,https://www.annualreviews.org/content/journals/arplant,Non-profit,Annual Reviews,,,USA,OA,,,Yes,No,No,9.949,Q1 (Cell Biology; Molecular Biology; Physiology; Plant Science),320,No,1545-2123,1543-5008,1543-5008
Plant Biology,Generalist,AoB Plants,https://academic.oup.com/aobpla/?login=true,University Press,Oxford University Press (OUP),Annals of Botany Company,,UK,OA,572,,Yes,Yes,Yes,0.782,Q1 (Plant Science),69,No,2041-2851,,2041-2851
Plant Biology,Generalist,Applications in Plant Sciences,https://bsapubs.onlinelibrary.wiley.com/journal/21680450,For-profit Society-run,John Wiley & Sons,Botanical Society of America,Society/Association,USA,OA,1544,,Yes,Yes,Yes,0.889,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",51,No,2168-0450,2168-0450,2168-0450
Plant Biology,Generalist,Australian Systematic Botany,https://connectsci.au/SB,Non-profit,Commonwealth Scientific and Industrial Research Organisation (CSIRO) Publishing,Commonwealth Scientific and Industrial Research Organisation (CSIRO) Publishing,University/Government,Australia,Hybrid,,,Yes,No,No,0.663,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",47,No,1446-5701,1030-1887,1030-1887
Plant Biology,Generalist,BMC Plant Biology,https://bmcplantbiol.biomedcentral.com/,For-profit,Springer Nature (BioMed Central),,,UK,OA,2840,,Yes,Yes,Yes,1.188,Q1 (Plant Science),172,No,1471-2229,,1471-2229
Plant Biology,Generalist,Botanical Journal of the Linnean Society,https://academic.oup.com/botlinnean?login=true,University Press,Oxford University Press (OUP),,,UK,Hybrid,3035,,Yes,No,Yes,0.682,"Q1 (Ecology, Evolution, Behavior and Systematics)",88,No,1095-8339,0024-4074,0024-4074
Plant Biology,Generalist,Botany,https://www.sciencedirect.com/org/journal/botany,Non-profit,Canadian Science Publishing,Canadian Botanical Association; Canadian Society of Plant Biologists; Canadian Society of Ecology and Evolution; Canadian Centre for Evidence-Informed Conservation,Society/Association,Canada,Hybrid,2537,,Yes,No,No,0.387,Q2 (Ecology; Plant Science),102,No,1916-2804,1916-2790,1916-2790
Plant Biology,Generalist,Botany Letters,https://www.tandfonline.com/journals/tabg21,For-profit Society-run,Taylor & Francis Group,Société botanique de France,Society/Association,USA,Hybrid,1119,,Yes,No,No,0.323,Q3 (Plant Science),31,PCI friendly,2381-8115,2381-8107,2381-8107
Plant Biology,Generalist,Canadian Journal of Plant Science,https://www.sciencedirect.com/org/journal/canadian-journal-of-plant-science,Non-profit,Canadian Science Publishing,,,Canada,,,,Yes,No,No,0.388,Q2 (Agronomy and Crop Science; Horticulture; Plant Science),75,No,1918-1833,0008-4220,0008-4220
Plant Biology,Generalist,Comprehensive Plant Biology,https://cpb.bio.bg.ac.rs/,University Press,"Institute of Botany and Botanical Garden Jevremovac, Faculty of Biology, University of Belgrade","Institute of Botany and Botanical Garden Jevremovac, Faculty of Biology, University of Belgrade",University/Government,Serbia,OA diamond,0,Botanica Serbica,Yes,Yes,No,0.29,Q3 (Plant Science),17,No,3042-3201,1821-2158,1821-2638
Plant Biology,Agriculture,Crop and Environment,https://www.sciencedirect.com/journal/crop-and-environment,For-profit,Elsevier,Huazhong Agricultural University,,Netherlands,OA,1565,,Yes,Yes,No,1.99,Q1 (Agricultural and Biological Sciences; Agronomy and Crop Science),20,No,2773-126X,,2773-126X
Plant Biology,Agriculture,Crop Journal,https://www.sciencedirect.com/journal/the-crop-journal,For-profit Society-Run,Elsevier,Crop Science Society of China,Society/Association,Netherlands,OA,,,Yes,Yes,No,1.688,Q1 (Agronomy and Crop Science; Plant Science),78,No,2214-5141,2095-5421,2214-5141
Plant Biology,Generalist,"Cryptogamie, Algologie",https://bioone.org/journals/cryptogamie-algologie/issues,Non-profit,"Muséum national d'Histoire naturelle, Paris","Muséum national d'Histoire naturelle, Paris",University/Government,France,,,,Yes,No,No,0.451,"Q2 (Aquatic Science; Ecology, Evolution, Behavior and Systematics; Plant Science)",41,No,,0181-1568,0181-1568
Plant Biology,Generalist,"Cryptogamie, Bryologie",https://bioone.org/journals/cryptogamie-bryologie,Non-profit,"Muséum national d'Histoire naturelle, Paris","Muséum national d'Histoire naturelle, Paris",University/Government,France,,,,Yes,No,No,0.241,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",31,No,,1290-0796,1290-0796
Plant Biology,Generalist,Current Opinion in Plant Biology,https://www.sciencedirect.com/journal/current-opinion-in-plant-biology,For-profit,Elsevier,,,Netherlands,Hybrid,2518,,Yes,No,Yes,3.15,Q1 (Plant Science),250,No,1879-0356,1369-5266,1369-5266
Plant Biology,Generalist,Current Plant Biology,https://www.sciencedirect.com/journal/current-plant-biology,For-profit,Elsevier,,,Netherlands,OA,1557,,Yes,Yes,No,0.887,Q1 (Plant Science),42,No,2214-6628,,2214-6628
Plant Biology,Generalist,Egyptian Journal of Botany,https://ejbo.journals.ekb.eg/,Non-profit,Egyptian Botanical Society,Egyptian Botanical Society,Society/Association,Egypt,,,,Yes,No,No,0.298,"Q3 (Agronomy and Crop Science; Biotechnology; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",18,No,2357-0350,0375-9237,0375-9237
Plant Biology,Generalist,European Journal of Phycology,https://www.tandfonline.com/journals/tejp20,For-profit Society-run,Taylor & Francis Group,British Phycological Society,Society/Association,UK,Hybrid,3190,,Yes,No,Yes,0.542,Q2 (Aquatic Science; Plant Science),84,No,1469-4433,0967-0262,0967-0262
Plant Biology,Pathology,European Journal of Plant Pathology,https://link.springer.com/journal/10658,For-profit,Springer Nature,,,Germany / UK,Hybrid,2828,,Yes,No,No,0.485,Q2 (Agronomy and Crop Science; Horticulture; Plant Science),117,No,1573-8469,0929-1873,0929-1873
Plant Biology,Generalist,Flora Mediterranea,https://herbmedit.org/journals/flora,Non-profit,Foundation pro Herbario Mediterraneo,Foundation pro Herbario Mediterraneo; Foundation Herbarium Greuter,Non-profit,Italy,OA,,,Yes,Yes,No,0.312,Q3 (Plant Science),18,No,2240-4538,1120-4052,1120-4052
Plant Biology,Generalist,Fottea,https://fottea.czechphycology.cz/,Non-profit,Czech Phycological Society,Czech Phycological Society,Society/Association,Czech Republic,OA,,,Yes,No,No,0.412,Q2 (Plant Science),37,No,1805-4927,1802-5439,1802-5439
Plant Biology,Agriculture,Frontiers in Agronomy,https://www.frontiersin.org/journals/agronomy,For-profit,Frontiers Media SA,,,Switzerland,OA,1942,,Yes,Yes,Yes,0.946,Q1 (Agricultural and Biological Sciences; Agronomy and Crop Science; Plant Science; Soil Science),37,No,2673-3218,,2673-3218
Plant Biology,Physiology,Frontiers in Plant Physiology,https://www.frontiersin.org/journals/plant-physiology,For-profit,Frontiers Media SA,,,Switzerland,OA,879,,No,Yes,Yes,,,,No,2813-821X,,2813-821X
Plant Biology,Generalist,Frontiers in Plant Science,https://www.frontiersin.org/journals/plant-science,For-profit,Frontiers Media SA,,,Switzerland,OA,2806,,Yes,Yes,Yes,1.258,Q1 (Plant Science),279,No,1664-462X,,1664-462X
Plant Biology,Genetics,Genome Research,https://genome.cshlp.org/,Non-profit,Cold Spring Harbor (CSH) Laboratory Press,,,USA,Hybrid,4310,,Yes,No,Yes,3.688,Q1 (Genetics),347,No,1549-5469,1088-9051,1088-9051
Plant Biology,Generalist,Grana,https://www.tandfonline.com/journals/sgra20,For-profit Society-run,Taylor & Francis Group,Collegium Palynologicum Scandinavicum,,UK,Hybrid,812,,Yes,No,Yes,0.36,Q2 (Plant Science),49,No,1651-2049,0017-3134,0017-3134
Plant Biology,Agriculture,Horticulture Research,https://academic.oup.com/hr,University Press,Oxford University Press (OUP),Nanjing Agricultural University,,UK,OA,3450,,Yes,Yes,Yes,2.464,Q1 (Biochemistry; Biotechnology; Genetics; Horticulture; Plant Science),97,No,2052-7276,2662-6810,2052-7276
Plant Biology,Development,In Vitro Cellular and Developmental Biology Plant,https://link.springer.com/journal/11627,For-profit Society-run,Springer Nature,Society for In Vitro Biology (SIVB); International Association for Plant Biotechnology (IAPB),Society/Association,Germany / UK,Hybrid,3446,,Yes,No,Yes,0.47,Q2 (Plant Science),87,No,1475-2689,1054-5476,1054-5476
Plant Biology,Agriculture,Invasive Plant Science and Management,https://www.cambridge.org/core/journals/invasive-plant-science-and-management,University Press,Cambridge University Press (CUP),,,UK,,,,Yes,No,No,0.362,Q2 (Plant Science),41,No,1939-747X,1939-7291,1939-7291
Plant Biology,Generalist,Italian Botanist,https://italianbotanist.pensoft.net/,For-profit Society-run,Pensoft,Italian Botanical Society,Society/Association,Bulgaria,OA,400,,Yes,Yes,No,0.318,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",23,No,2531-4033,,2531-4033
Plant Biology,Agriculture,Journal of Agricultural and Food Chemistry,https://pubs.acs.org/journal/jafcau,Non-profit,American Chemical Society (ACS),American Chemical Society (ACS),Society/Association,USA,Hybrid,4402,,Yes,No,Yes,1.206,Q1 (Agricultural and Biological Sciences; Chemistry),372,No,1520-5118,0021-8561,0021-8561
Plant Biology,Agriculture,Journal of Agricultural Science,https://www.cambridge.org/core/journals/journal-of-agricultural-science,University Press,Cambridge University Press (CUP),,,UK,OA,667,,Yes,No,No,0.443,Q2 (Agronomy and Crop Science; Animal Science and Zoology),93,No,1469-5146,0021-8596,0021-8596
Plant Biology,Generalist,Journal of Applied Phycology,https://link.springer.com/journal/10811,For-profit Society-run,Springer Nature,International Society for Applied Phycology; International Seaweed Association,Society/Association,Germany / UK,Hybrid,2584,,Yes,No,Yes,0.641,Q2 (Aquatic Science; Plant Science),151,No,1573-5176,0921-8971,0921-8971
Plant Biology,Generalist,Journal of Bryology,https://www.tandfonline.com/journals/yjbr20,For-profit Society-run,Taylor & Francis Group,British Bryological Society,Society/Association,UK,,,,Yes,No,No,0.334,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",42,No,1743-2820,0373-6687,0373-6687
Plant Biology,Generalist,Journal of Experimental Botany,https://academic.oup.com/jxb,University Press,Oxford University Press (OUP),,,UK,Hybrid,3642,,Yes,No,Yes,1.926,Q1 (Physiology; Plant Science),324,No,1460-2431,0022-0957,0022-0957
Plant Biology,Agriculture,Journal of Ginseng Research,https://www.journals.elsevier.com/journal-of-ginseng-research,For-profit Society-Run,Elsevier,Korean Society of Ginseng,Society/Association,Netherlands,OA,,,Yes,Yes,No,1.492,"Q1 (Biochemistry, Genetics and Molecular Biology; Biotechnology; Complementary and Alternative Medicine; Plant Science)",77,No,2093-4947,1226-8453,1226-8453
Plant Biology,Generalist,Journal of Integrative Plant Biology,https://onlinelibrary.wiley.com/journal/17447909,For-profit,John Wiley & Sons,,,USA,Hybrid,2052,,Yes,No,No,3.566,"Q1 (Biochemistry; Biochemistry, Genetics and Molecular Biology; Plant Science)",132,No,1744-7909,1672-9072,1672-9072
Plant Biology,Molecular and Cellular Biology,Journal of Natural Products,https://pubs.acs.org/journal/jnprdf,Non-profit,American Chemical Society (ACS),,,USA,Hybrid,2456,,Yes,No,No,0.585,Q1 (Complementary and Alternative Medicine),173,No,1520-6025,0163-3864,0163-3864
Plant Biology,Generalist,Journal of Phycology,https://onlinelibrary.wiley.com/journal/15298817,For-profit Society-run,John Wiley & Sons,Phycological Society of America,Society/Association,USA,Hybrid,2547,,Yes,No,No,0.957,Q1 (Aquatic Science; Plant Science),152,No,1529-8817,0022-3646,0022-3646
Plant Biology,Ecology,Journal of Plant Ecology,https://academic.oup.com/jpe,University Press,Oxford University Press (OUP),,,UK,Hybrid,1721,,Yes,Yes,Yes,1.263,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",61,No,1752-993X,1752-9921,1752-9921
Plant Biology,Development,Journal of Plant Growth Regulation,https://link.springer.com/journal/344,For-profit,Springer Nature,,,Germany / UK,Hybrid,2967,,Yes,No,Yes,0.949,Q1 (Agronomy and Crop Science; Plant Science),120,No,1435-8107,0721-7595,0721-7595
